country,quarter,PRITHVI_MOISTURE_ANOM,PRITHVI_MOISTURE_STD
CHL,2004-10-01,0.00038257302,0.59001887
CHL,2005-01-01,-0.00016758684,-0.25845888
CHL,2005-04-01,0.001232788,1.9012531
CHL,2005-07-01,-0.0010852473,-1.6737101
CHL,2005-10-01,-0.00057426776,-0.88565785
CHL,2006-01-01,0.00078433455,1.209631
CHL,2006-04-01,-0.00014484487,-0.22338535
CHL,2006-07-01,5.982195e-07,0.0009225972
CHL,2006-10-01,0.0011852682,1.8279662
CHL,2007-01-01,-0.0005447233,-0.84009326
CHL,2007-04-01,-4.002545e-05,-0.06172879
CHL,2007-07-01,-0.00093007786,-1.4344019
CHL,2007-10-01,-3.4248456e-05,-0.05281929
CHL,2008-01-01,-0.0006821764,-1.0520787
CHL,2008-04-01,0.0006246483,0.9633567
CHL,2008-07-01,-0.00066546345,-1.0263034
CHL,2008-10-01,-0.00010012897,-0.15442276
CHL,2009-01-01,0.0007523896,1.1603643
CHL,2009-04-01,0.00062216306,0.95952386
CHL,2009-07-01,-6.243804e-05,-0.09629435
CHL,2009-10-01,0.0003693622,0.56964463
CHL,2010-01-01,0.00031203358,0.4812302
CHL,2010-04-01,0.00016029894,0.24721919
CHL,2010-07-01,-0.00084382604,-1.301381
CHL,2010-10-01,0.0002836104,0.4373949
CHL,2011-01-01,0.00058992085,0.9097986
CHL,2011-04-01,0.00043304558,0.66785955
CHL,2011-07-01,-0.00031140228,-0.4802566
CHL,2011-10-01,-0.0012047207,-1.8579667
CHL,2012-01-01,0.00041671362,0.64267176
CHL,2012-04-01,0.0007566903,1.1669968
CHL,2012-07-01,-0.00053205603,-0.8205573
CHL,2012-10-01,0.00032579186,0.50244874
CHL,2013-01-01,-0.00084659486,-1.3056512
CHL,2013-04-01,0.0009871265,1.5223845
CHL,2013-07-01,-0.0003843396,-0.59274334
CHL,2013-10-01,-0.00022412185,-0.34564933
CHL,2014-01-01,7.702783e-05,0.11879528
CHL,2014-04-01,3.6902104e-06,0.0056911847
CHL,2014-07-01,-5.5704575e-05,-0.08590974
CHL,2014-10-01,0.00043224217,0.66662055
CHL,2015-01-01,-0.0003817558,-0.58875847
CHL,2015-04-01,0.00066090067,1.0192665
CHL,2015-07-01,0.0005770403,0.88993376
CHL,2015-10-01,-0.00079165463,-1.2209202
CHL,2016-01-01,-0.001137145,-1.7537488
CHL,2016-04-01,-0.0025659406,-3.9572923
CHL,2016-07-01,-0.0013157143,-2.0291452
CHL,2016-10-01,0.00034379354,0.5302116
CHL,2017-01-01,0.00047971666,0.7398375
CHL,2017-04-01,0.00043985154,0.678356
CHL,2017-07-01,0.0011450049,1.7658706
CHL,2017-10-01,0.0006936118,1.0697148
CHL,2018-01-01,0.0009384447,1.4473056
CHL,2018-04-01,9.74598e-05,0.15030625
CHL,2018-07-01,-0.0004534186,-0.6992796
CHL,2018-10-01,-2.3457376e-05,-0.036176868
CHL,2019-01-01,-0.00033714218,-0.51995367
CHL,2019-04-01,0.0001316932,0.20310234
