country,quarter,PRITHVI_HEAT_ANOM,PRITHVI_HEAT_STD
CHL,2007-07-01,-3.960207,-1.3966924
CHL,2007-10-01,1.1617446,0.40972602
CHL,2008-01-01,4.4798255,1.5799522
CHL,2008-04-01,-2.2012403,-0.7763371
CHL,2008-07-01,-3.3016841,-1.1644435
CHL,2008-10-01,2.103358,0.7418158
CHL,2009-01-01,3.951937,1.3937757
CHL,2009-04-01,-1.1497945,-0.4055114
CHL,2009-07-01,-3.4115925,-1.2032061
CHL,2009-10-01,0.77635497,0.27380615
CHL,2010-01-01,3.859147,1.3610504
CHL,2010-04-01,-1.8345475,-0.6470113
CHL,2010-07-01,-3.7563076,-1.3247808
CHL,2010-10-01,0.98853236,0.34863722
CHL,2011-01-01,3.6273546,1.2793014
CHL,2011-04-01,-1.6572951,-0.5844976
CHL,2011-07-01,-3.611028,-1.2735434
CHL,2011-10-01,1.8799862,0.66303664
CHL,2012-01-01,4.0400095,1.4248372
CHL,2012-04-01,-1.8317767,-0.64603406
CHL,2012-07-01,-2.7529097,-0.9709007
CHL,2012-10-01,1.5151863,0.5343784
CHL,2013-01-01,4.4510317,1.5697973
CHL,2013-04-01,-1.0509977,-0.37066764
CHL,2013-07-01,-3.3799374,-1.1920419
CHL,2013-10-01,1.6521238,0.5826738
CHL,2014-01-01,3.3200843,1.1709329
CHL,2014-04-01,-1.7744528,-0.62581694
CHL,2014-07-01,-2.5701885,-0.9064584
CHL,2014-10-01,1.6917776,0.59665895
CHL,2015-01-01,4.3186765,1.523118
CHL,2015-04-01,-0.72045517,-0.25409132
CHL,2015-07-01,-3.029322,-1.0683863
CHL,2015-10-01,1.4541484,0.5128515
CHL,2016-01-01,4.8685594,1.7170516
CHL,2016-04-01,-1.4219384,-0.5014916
CHL,2016-07-01,-2.2668667,-0.7994823
CHL,2016-10-01,2.2484186,0.79297596
CHL,2017-01-01,4.4560895,1.571581
CHL,2017-04-01,-1.7168773,-0.6055111
CHL,2017-07-01,-2.709895,-0.9557302
CHL,2017-10-01,1.6355861,0.57684124
CHL,2018-01-01,3.987239,1.406226
CHL,2018-04-01,-1.6752671,-0.590836
CHL,2018-07-01,-3.0739546,-1.0841274
CHL,2018-10-01,1.8747429,0.6611874
CHL,2019-01-01,4.041152,1.4252402
CHL,2019-04-01,-1.074165,-0.3788383
CHL,2019-07-01,-2.611745,-0.9211146
CHL,2019-10-01,2.0193155,0.71217555
CHL,2020-01-01,4.7044163,1.6591613
CHL,2020-04-01,-0.7490754,-0.26418516
CHL,2020-07-01,-3.4546127,-1.2183785
CHL,2020-10-01,1.9860643,0.70044845
CHL,2021-01-01,4.1375413,1.459235
CHL,2021-04-01,-1.0255961,-0.36170894
CHL,2021-07-01,-2.5208962,-0.88907385
CHL,2021-10-01,2.157748,0.76099813
CHL,2022-01-01,3.71234,1.3092743
CHL,2022-04-01,-2.1577432,-0.76099646
CHL,2022-07-01,-3.5938604,-1.2674886
CHL,2022-10-01,2.1139865,0.7455643
CHL,2023-01-01,4.1245127,1.4546399
CHL,2023-04-01,-0.7715087,-0.27209696
CHL,2023-07-01,-2.6923892,-0.9495563
CHL,2023-10-01,1.5073423,0.531612
CHL,2024-01-01,4.85673,1.7128795
CHL,2024-04-01,-2.352101,-0.82954293
CHL,2024-07-01,-3.088878,-1.0893906
CHL,2024-10-01,2.2497578,0.79344827
COL,1981-01-01,0.628135,0.9990636
COL,1981-04-01,-0.18181928,-0.28918785
COL,1981-07-01,-0.6453597,-1.0264599
COL,1981-10-01,-0.08291944,-0.13188533
COL,1982-01-01,0.26185927,0.41649336
