country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter
IDN,13.268705199491038,14.548449331385571,-7.163461538,-17.09524274,,1/1/02
IDN,8.07153392,12.69097760451514,-23.68881119,-1.895881719,,4/1/02
IDN,10.43511496094196,10.377924571562724,-6.821705426,9.260152916886868,,7/1/02
IDN,11.044562144417291,10.219100619134624,-14.03846154,17.793697843189406,,10/1/02
IDN,13.750731891579449,7.801997166763885,-7.736923874,23.18121094069168,,1/1/03
IDN,10.31893701205866,7.215017388,-5.097365407,8.959465993273952,,4/1/03
IDN,9.233739240172278,6.378085451,-6.943982252,-1.993515238,,7/1/03
IDN,9.017613673115378,5.695494868913165,-5.313199105,0.7461198415632087,,10/1/03
IDN,8.362121985784366,4.839163295450333,-3.60350247,7.191624093469451,,1/1/04
IDN,13.339761579672494,6.383796744652881,13.639106819553405,10.477179355914725,,4/1/04
IDN,15.226958539747027,6.709893270459388,9.309810466086542,25.17327696936098,,7/1/04
IDN,18.925283814127525,6.305896780690445,9.746012994683984,25.803190563373835,,10/1/04
IDN,18.07372697125864,7.74746727,10.39944101548853,23.96967337,,1/1/05
IDN,18.921286463202037,7.661141698221119,3.165161975570907,24.86137381793472,,4/1/05
IDN,19.539410214710703,8.397186021133196,12.431842966194107,19.10823034018978,,7/1/05
IDN,26.271689702568413,17.782499191454583,5.81270183,12.204144295076924,,10/1/05
IDN,24.05142860085947,16.903963482926976,-4.272151899,15.147005985066087,,1/1/06
IDN,21.402459073064705,15.51375013325076,-4.252033357,19.425164018716966,,4/1/06
IDN,21.924713682156515,14.871834711449994,-10.42677013,16.47658313,,7/1/06
IDN,15.024674091487087,6.052348891582171,-8.240081384,19.519679126031654,,10/1/06
IDN,17.68432609174564,6.359674988,0.4738292011019274,10.263743720969789,,1/1/07
IDN,18.44606934418276,6.024270595860015,-2.64516129,13.114538034745028,,4/1/07
IDN,18.31846038,6.506828253280061,-1.061180292,9.121565826090738,,7/1/07
IDN,18.76333881,6.724049934,4.423503325942346,19.943861715710742,,10/1/07
IDN,24.22054200014856,7.646185294503094,1.0857644220223728,32.12788468335095,,1/1/08
IDN,26.502252152847895,10.212686334684085,1.8886679920477212,30.48486551176135,,4/1/08
IDN,26.90940304574234,11.893216851249711,2.637627229944184,28.70135897703117,,7/1/08
IDN,23.45917409581655,11.085095929842035,16.254379445801035,-7.114273603,,10/1/08
IDN,14.222941272815692,7.653806488771386,25.58316154931106,-30.71034111,,1/1/09
IDN,10.938803833796172,4.7603039465668795,10.840108401084002,-26.00157776,,4/1/09
IDN,8.474701763,2.765575425,3.2309660908509175,-18.74367755,,7/1/09
IDN,10.733654419524342,2.5884257001051347,-14.15525114,22.117226331153784,,10/1/09
IDN,13.676918684503647,3.6571531157683745,-21.25269978,51.80829376395381,,1/1/10
IDN,14.992850279006674,4.371471343249933,-11.16870416,36.07250282372614,,4/1/10
IDN,14.49950970179219,6.150383516052238,-7.81944014,26.40060061240508,,7/1/10
IDN,13.597092265931266,6.3163645227195975,-4.35106383,32.02796626773783,,10/1/10
IDN,13.997063003602372,6.830615510542182,-4.45419638,27.717205548500303,,1/1/11
IDN,13.121129813026734,5.891741746381363,-5.35065507,43.91554484928029,,4/1/11
IDN,15.300565290168144,4.667864295389634,-1.131779471,39.61037814408963,,7/1/11
IDN,13.946750117329266,4.118237892,0.8564119675230852,9.390233492,,10/1/11
IDN,12.197286886974831,3.724921632824163,5.408198415432319,6.892654007446786,,1/1/12
IDN,12.123760536795093,4.495074129065935,10.27102477608468,-8.988168584,,4/1/12
IDN,8.358793185,4.485684322726646,8.670520231213864,-14.12321047,,7/1/12
IDN,7.641029570091451,4.406565870088186,6.638729598588444,-8.246947113,,10/1/12
IDN,8.687160724,4.7261278232235915,5.871459694989101,-6.388025944,,1/1/13
IDN,8.578169703691806,5.229055188022147,4.736286919831234,-5.757929368,,4/1/13
IDN,12.06632492302706,7.871701663693953,21.120150187734676,-6.858589749,,7/1/13
IDN,13.73622564106791,7.754344740067109,26.049638055842816,3.338499272307005,,10/1/13
IDN,12.17964971238301,7.761374659452569,17.337174606440996,-2.458716837,,1/1/14
IDN,11.836289762275351,7.089413891299956,20.545875717594917,-2.469805211,,4/1/14
IDN,10.32338544455711,4.351564642261163,5.158012572117454,2.345853452833513,,7/1/14
IDN,8.742974754,6.475787440006053,2.059233735335142,-10.33563048,,10/1/14
IDN,9.076583440474195,6.542979420627848,14.731673097158884,-11.84451252,,1/1/15
IDN,9.454955710831992,7.0650090952896205,11.387751691870672,-11.7361041,,4/1/15
IDN,8.967112403783428,7.089157017453229,20.02129053390107,-16.18148093,,7/1/15
IDN,8.720653412543466,4.811760483373773,10.89228295819935,-19.34722859,,10/1/15
IDN,7.412697178252525,4.335107248929448,1.467441149495574,-13.67736559,,1/1/16
IDN,7.177255191030296,3.461161373433952,-1.140114011,-7.345282286,,4/1/16
IDN,7.340964378045789,3.0247326318660672,-11.31882377,-4.887714442,,7/1/16
IDN,8.419160524687364,3.302582313878988,-2.602392171,14.024872102268503,,10/1/16
IDN,10.050790398551236,3.645384829956977,0.3389575173244896,20.828392673068443,,1/1/17
IDN,9.495406135033456,4.2915645304075545,1.054628225,7.831398251486199,,4/1/17
IDN,9.537853469285684,3.8063329261582624,3.8005847053392823,24.000370034102183,,7/1/17
IDN,9.262587902,3.4982044772541077,0.8335814230425731,13.40407940687822,,10/1/17
IDN,8.887442548022273,3.277830452980268,3.2655206065610676,8.692876899,,1/1/18
IDN,9.450970117630252,3.2542408251900357,8.146257226518516,11.348362665488333,,4/1/18
IDN,9.739304675426542,3.0898265848508855,10.650756003557673,8.549743249999398,,7/1/18
IDN,8.689013681082457,3.1731889852818274,6.886625332152341,-0.699940921,,10/1/18
IDN,7.881594339713716,2.6246903354036455,3.5475428903751105,-6.795458391,,1/1/19
IDN,7.501463408631004,3.1441653296909955,-1.8258817,-9.463699429,,4/1/19
IDN,5.950719870314902,3.4001531930955675,-5.057271083,-7.44910243,,7/1/19
IDN,5.546251739648245,2.949393396925881,-4.005213728,-4.161706074,,10/1/19
IDN,3.649487594508116,2.920578004,14.904556304408878,1.079454512388378,,1/1/20
IDN,-6.961638285,2.1129671356666435,1.138533342762171,-12.54096367,,4/1/20
IDN,-4.141144402,1.1993899954273468,5.249047551855512,-6.606626922,,7/1/20
IDN,-2.258597848,1.4684630600246384,1.4675197944321372,6.719795039157406,,10/1/20
IDN,1.1779946922977125,1.4314408778387966,-10.96721728,17.24842974561147,,1/1/21
IDN,13.24541992309829,1.477456774119279,1.3564536428471552,55.88455212228456,,4/1/21
IDN,11.403597288202016,1.569745513612597,-4.095689771,50.900371535634584,,7/1/21
IDN,14.337699453075302,1.760551897877316,1.1627078473208652,45.649029880425985,,10/1/21
IDN,13.224756309238847,2.291304778364611,-1.530297831,35.16418002,,1/1/22
IDN,17.31126495149562,3.791725620020725,2.428256070640167,53.93925081642197,,4/1/22
IDN,17.506359949652328,5.193371039494465,6.570173142457136,45.686032647245646,,7/1/22
IDN,13.544843323093648,5.545007371234223,10.245949174451896,21.316112863974944,,10/1/22
IDN,12.178030845774778,5.238880266145585,4.968950809,1.442563633,,1/1/23
IDN,6.431665032694944,3.9488157070966423,1.198814655,-25.86694039,,4/1/23
IDN,4.687607176220654,2.8729258088232568,1.8298681707876965,-28.91820026,,7/1/23
IDN,3.823381451088803,2.679918423908023,-2.002415612,-18.43133302,,10/1/23
IDN,4.381519813168788,2.5706423336779194,5.25162661,-7.080618717,,1/1/24
IDN,5.787265660508312,2.6431784672273473,9.283907893,1.832472074238578,,4/1/24
IDN,6.546493883689308,1.9405823060916203,-2.499033879,11.282819420646462,,7/1/24
IDN,7.113968141,1.5813640816903618,4.839128178515817,9.335907493625628,,10/1/24
IDN,7.174930293250625,0.5648469548753976,4.636346432851823,8.461102558399535,,1/1/25
IDN,7.369186009762418,1.805359661495065,-1.144875464,13.868727964806006,,4/1/25
IDN,7.504440677268365,2.4427816901408494,10.186286167261205,,,7/1/25
IDN,,,3.8361588912263263,,,10/1/25
IND,,10.631577740971633,4.602388581415662,2.8447985331829573,,1/1/97
IND,11.117338513754316,7.715731960796668,2.167712492869356,0.2742626795752656,,4/1/97
IND,10.008021501104224,5.068220309545968,1.1744966442952975,6.184147143320051,,7/1/97
IND,9.861393146171585,5.550244084,9.323684943,2.274079111161953,,10/1/97
IND,12.075568066352904,9.039007931,9.99721526,-3.628672901,,1/1/98
IND,13.094965576599035,10.367577244556347,18.56504745951981,4.310556187913117,,4/1/98
IND,16.164203891824602,15.398889280903315,17.440574903261474,7.077158515236359,,7/1/98
IND,16.52047688567304,17.860373643049154,8.146639511201625,-2.307055429,,10/1/98
IND,12.951714032689264,8.987780690009583,7.417721518987341,4.814388912585965,,1/1/99
IND,13.440659356097772,7.087962094576672,2.095596891923712,-0.759710081,,4/1/99
IND,10.920737467936316,2.8135044743560877,2.635914332784184,6.981353259478951,,7/1/99
IND,9.469072018309465,0.4615361793843142,2.3775894538606623,16.254918919281813,,10/1/99
IND,12.163434251356776,3.682947919,2.804619373085071,18.95663668,,1/1/00
IND,8.838659111,5.263157507,3.0442804428044257,29.245108180424275,,4/1/00
IND,8.816912690717782,4.143862305066981,5.640908048612703,16.94618977391771,,7/1/00
IND,7.733838233986923,2.9862239548744007,7.495976086456646,9.791723623035242,,10/1/00
IND,5.555856913443535,2.9343615011076407,6.923429619440635,6.9318796781434155,,1/1/01
IND,7.708298946096881,2.7272731720952903,5.282005371530896,-4.913322668,,4/1/01
IND,7.518969837642886,4.6546581546059285,3.8853917950944177,1.565435052325248,,7/1/01
IND,9.444238616875666,4.758376035714229,3.0588235294117583,3.663460179803546,,10/1/01
IND,8.896666863250857,5.101280184410406,4.631217838765012,5.211589791929194,,1/1/02
IND,8.165893677396108,4.498551493841063,3.890306122448983,18.343639341534292,,4/1/02
IND,8.432030401192293,4.017205436981586,1.086502298370262,19.349343754731784,,7/1/02
IND,5.893260069493356,3.619540443277036,-0.311332503,23.82662868440095,,10/1/02
IND,8.366729636320414,3.782992226,-2.56147541,26.401460355147833,,1/1/03
IND,9.921998450641212,4.728275626754441,-4.910988336,19.78753747753124,,4/1/03
IND,10.533328636447404,3.379301282506053,-5.22943365,18.05847765659918,,7/1/03
IND,15.217854865429414,3.356187801414401,-5.048927753,20.19693472490318,,10/1/03
IND,13.123793026456564,3.989012763762067,-8.633017876,20.92502009337445,,1/1/04
IND,14.50076152,2.6954146893463093,-1.065203357,20.60950626872231,,4/1/04
IND,15.512392473360403,4.202821742473106,0.6652126499454791,22.65579504017003,,7/1/04
IND,13.290338727012973,4.1749697481468395,-4.429338888,29.026547780624057,,10/1/04
IND,14.763815953243498,4.232805685766339,0.7135458625848745,31.944220557100863,,1/1/05
IND,13.8740248,4.002587646379907,-5.350734095,37.809224401353944,,4/1/05
IND,12.77538086213863,3.713203195977433,-4.690716065,29.947504094659006,,7/1/05
IND,13.929208804761494,5.025426773006769,3.3956636457496803,23.01320211782332,,10/1/05
IND,15.016075571325826,4.505076254,1.942635127413994,23.13542681077001,,1/1/06
IND,14.42966465772091,5.9491927049906135,3.607951281167421,18.971997935648055,,4/1/06
IND,17.265826824166332,6.223138076409995,4.466924300977482,25.221291420451553,,7/1/06
IND,16.64666279893856,6.4641333232738685,-1.81959392,23.51612556,,10/1/06
IND,16.69071176967074,7.00280112,-2.264320143,17.961397127887825,,1/1/07
IND,16.927655159574595,6.318681318681518,-9.60408118,29.13263888807709,,4/1/07
IND,14.636457016440207,6.702412868632912,-13.53497987,23.06358116998033,,7/1/07
IND,17.15262262929651,5.5118110236220375,-10.91648774,40.08539999,,10/1/07
IND,15.799352641556542,6.282722513,-8.280766143,34.61030380573038,,1/1/08
IND,16.544679601925406,7.751937984496049,5.3858422279474905,52.33947846258453,,4/1/08
IND,17.41135956922473,9.045226130653216,18.12004530011326,35.61913847,,7/1/08
IND,12.940372189319804,10.199004975124314,22.93543067360142,-9.489861256,,10/1/08
IND,5.415954356955255,9.359605911329917,27.410278854570457,-20.00186309,,1/1/09
IND,8.493897553315776,8.872901678656998,11.47846332945286,-31.86208527,,4/1/09
IND,10.87812700243651,11.751152073732696,2.3543198039842173,-18.99056917,,7/1/09
IND,15.19352362683819,13.31828442,-3.663192653,19.515663311760555,,10/1/09
IND,25.69659975294114,15.31531531531538,-11.40445579,36.62714761908832,,1/1/10
IND,22.148177633102417,13.656387665198343,-2.673350042,40.942460839654736,,4/1/10
IND,20.483298709846153,10.309278350515449,-6.494587843,20.146307930443896,,7/1/10
IND,19.752792224765535,9.163346614,-4.005998286,42.19906994289448,,10/1/10
IND,18.580252139649488,8.984374999999979,-1.074554115,55.34833557967964,,1/1/11
IND,17.283483894444295,8.914728682,-4.034334764,41.28197410036381,,4/1/11
IND,14.645514010287153,9.158878504672897,8.916518254674966,51.678708982961005,,7/1/11
IND,12.83745251217998,8.599992323,18.85739790225396,10.130304549337342,,10/1/11
IND,12.492377840928338,7.551855097867421,14.572228443449053,-0.836058099,,1/1/12
IND,13.424866714375238,10.137982228238386,25.91457960644008,-3.77624489,,4/1/12
IND,14.318357441914497,9.990785540201497,7.709099382119278,-8.3157051,,7/1/12
IND,13.658721154825226,10.161389371186736,2.8488546751783694,0.23048422,,10/1/12
IND,13.88513823398807,10.16701796485393,6.319431548,4.322937222270928,,1/1/13
IND,12.291440048433875,9.220551199,6.021239943881085,-0.268921358,,4/1/13
IND,12.601653586655438,10.079663026988904,19.12822361804276,12.951419714466384,,7/1/13
IND,13.969661102388242,10.57360420201048,12.997537301035278,7.4441685139013725,,10/1/13
IND,12.961513043419393,8.312182741116715,10.499307768255894,-1.449091077,8.702450518,1/1/14
IND,12.701491976862922,7.8498293515359086,0.6596370153853837,7.195890423949258,8.363777372262675,4/1/14
IND,12.132799617050072,6.674577276772475,-1.853385794,-0.480130378,7.808461724576308,7/1/14
IND,10.022655832011472,4.050925925925952,2.317559817115522,-1.339960363,2.976025633500771,10/1/14
IND,9.303382681,5.272407732864681,4.1447725283611625,-13.86597143,6.271735916686668,1/1/15
IND,10.05267685,5.092059838895269,6.093191753,-15.24104131,5.051921119303722,4/1/15
IND,9.603319728671188,3.9488320355950624,6.700317300591574,-17.67236523,2.775574941,7/1/15
IND,10.430387713347676,5.339265850945485,4.728294766427443,-18.24028666,5.860314193,10/1/15
IND,11.68741843787082,5.258764607679467,5.978674182148169,-8.693633255,5.738344917501862,1/1/16
IND,11.905440861467298,5.666575417465114,6.0571030618823185,-2.232792936,7.186693244270835,4/1/16
