country,quarter,PRITHVI_MOISTURE_EXTENT
PER,1987-04-01,0.045035365744471305
PER,1987-07-01,0.1246306741874832
PER,1987-10-01,0.012982361894529502
PER,1988-01-01,0.010385889515623602
PER,1988-04-01,0.09750201450443191
PER,1988-07-01,0.24890321425373804
PER,1988-10-01,0.017727639000805803
PER,1989-01-01,0.0018802041364491002
PER,1989-04-01,0.020861312561554306
PER,1989-07-01,0.13931417315784764
PER,1989-10-01,0.06732921479093922
PER,1990-01-01,0.008953353030710001
PER,1990-04-01,0.018712507834183902
PER,1990-07-01,0.1176470588235294
PER,1990-10-01,0.009221953621631302
PER,1991-01-01,0.0106544901065449
PER,1991-04-01,0.044677231623242906
PER,1991-07-01,0.22616169755573465
PER,1991-10-01,0.010744023636852
PER,1992-01-01,0.012534694242994
PER,1992-04-01,0.0896230638374071
PER,1992-07-01,0.1463873220521085
PER,1992-10-01,0.028650729698272006
PER,1993-01-01,0.0029546065001343005
PER,1993-04-01,0.05040737756289731
PER,1993-07-01,0.115498254096159
PER,1993-10-01,0.009759154803473901
PER,1994-01-01,0.0025964723789059
PER,1994-04-01,0.022293849046467903
PER,1994-07-01,0.0948160085952189
PER,1994-10-01,0.007520816545796401
PER,1995-01-01,0.0197869101978691
PER,1995-04-01,0.09213000268600591
PER,1995-07-01,0.2260721640254275
PER,1995-10-01,0.011460291879308802
PER,1996-01-01,0.008505685379174502
PER,1996-04-01,0.07547676604888531
PER,1996-07-01,0.13367356074850031
PER,1996-10-01,0.0225624496373892
PER,1997-01-01,0.0262333243799803
PER,1997-04-01,0.09060793267078521
PER,1997-07-01,0.15498254096159012
PER,1997-10-01,0.0162055689855851
PER,1998-01-01,0.0025069388485988004
PER,1998-04-01,0.0812069119885397
PER,1998-07-01,0.20404691556988094
PER,1998-10-01,0.019876443728176204
PER,1999-01-01,0.0023278717879846003
PER,1999-04-01,0.06974662010923091
PER,1999-07-01,0.229205837586176
PER,1999-10-01,0.015399767212821202
PER,2000-01-01,0.0123556271823798
PER,2000-04-01,0.0378726833199033
PER,2000-07-01,0.0690303518667741
PER,2000-10-01,0.0051034112275047
PER,2001-01-01,0.013161428955143701
PER,2001-04-01,0.1006356880651804
PER,2001-07-01,0.147730325006715
PER,2001-10-01,0.0167427701674277
PER,2002-01-01,0.014146297788521804
PER,2002-04-01,0.09517414271644731
PER,2002-07-01,0.1296445518846808
PER,2002-10-01,0.006894081833646701
PER,2003-01-01,0.019786910197869104
PER,2003-04-01,0.07520816545796401
PER,2003-07-01,0.2066433879487868
PER,2003-10-01,0.017100904288656103
PER,2004-01-01,0.058465395290536314
PER,2004-04-01,0.09786014862566032
PER,2004-07-01,0.11728892470230101
PER,2004-10-01,0.0219357149252395
PER,2005-01-01,0.009221953621631302
PER,2005-04-01,0.110126242277733
PER,2005-07-01,0.2943862476497448
PER,2005-10-01,0.023099650819231803
PER,2006-01-01,0.009759154803473901
PER,2006-04-01,0.16348822634076463
PER,2006-07-01,0.22258035634345064
PER,2006-10-01,0.008326618318560302
PER,2007-01-01,0.041633091592801506
PER,2007-04-01,0.11970633002059271
PER,2007-07-01,0.2088817262064643
PER,2007-10-01,0.007162682424568
PER,2008-01-01,0.0038499418032053
PER,2008-04-01,0.1025158922016295
PER,2008-07-01,0.255170561375235
PER,2008-10-01,0.0271286596830513
PER,2009-01-01,0.00026860059092130003
PER,2009-04-01,0.0757453666398066
PER,2009-07-01,0.163846360461993
PER,2009-10-01,0.013519563076372101
PER,2010-01-01,0.023905452591995707
PER,2010-04-01,0.099382218640881
PER,2010-07-01,0.3015489300743128
PER,2010-10-01,0.0204136449100188
PER,2011-01-01,0.015220700152207002
PER,2011-04-01,0.10609723341391349
PER,2011-07-01,0.23332437998030262
PER,2011-10-01,0.0197869101978691
PER,2012-01-01,0.0025964723789059004
PER,2012-04-01,0.07341749485182202
PER,2012-07-01,0.24406840361715462
PER,2012-10-01,0.005730145939654401
PER,2013-01-01,0.0103858895156236
PER,2013-04-01,0.012892828364222403
PER,2013-07-01,0.10887277285343361
PER,2013-10-01,0.0210403796221685
PER,2014-01-01,0.0047452771062763
PER,2014-04-01,0.0842510520189811
PER,2014-07-01,0.17029277464410422
PER,2014-10-01,0.010564956576237801
PER,2015-01-01,0.0007162682424568001
PER,2015-04-01,0.058644462351150506
PER,2015-07-01,0.21398513743396905
PER,2015-10-01,0.013430029546065002
PER,2016-01-01,0.0335750738651625
PER,2016-04-01,0.08389291789775272
PER,2016-07-01,0.21604440863103233
PER,2016-10-01,0.0222043155161608
PER,2017-01-01,0.0014325364849136003
PER,2017-04-01,0.053988718775181306
PER,2017-07-01,0.20673292147909392
PER,2017-10-01,0.016742770167427704
PER,2018-01-01,0.018712507834183902
PER,2018-04-01,0.06401647416957651
PER,2018-07-01,0.1670695675530486
PER,2018-10-01,0.0094905542125526
PER,2019-01-01,0.0022383382576775003
PER,2019-04-01,0.08568358850389472
PER,2019-07-01,0.22087921926761575
PER,2019-10-01,0.0069836153639538006
PER,2020-01-01,0.0281135285164294
PER,2020-04-01,0.1043960963380786
PER,2020-07-01,0.2253558957829707
PER,2020-10-01,0.0410063568806518
PER,2021-01-01,0.005819679469961501
PER,2021-04-01,0.05676425821470141
PER,2021-07-01,0.2503357507386516
PER,2021-10-01,0.0119079595308443
PER,2022-01-01,0.0210403796221685
PER,2022-04-01,0.1055600322320709
PER,2022-07-01,0.22857910287402636
PER,2022-10-01,0.0509445787447399
PER,2023-01-01,0.0094905542125526
PER,2023-04-01,0.12185513474796311
PER,2023-07-01,0.3310949950756558
PER,2023-10-01,0.0440504969110932
PER,2024-01-01,0.015220700152207
PER,2024-04-01,0.1231981377025696
PER,2024-07-01,0.37084788253200823
PER,2024-10-01,0.038588951562360106
PHL,1981-01-01,0.10345441595441596
PHL,1981-04-01,0.05039173789173789
PHL,1981-07-01,0.019764957264957264
PHL,1981-10-01,0.00836894586894587
PHL,1982-01-01,0.05306267806267806
PHL,1982-04-01,0.017806267806267807
PHL,1982-07-01,0.013354700854700854
PHL,1982-10-01,0.027243589743589747
PHL,1983-01-01,0.17361111111111113
PHL,1983-04-01,0.10345441595441596
PHL,1983-07-01,0.0037393162393162395
PHL,1983-10-01,0.018162393162393164
PHL,1984-01-01,0.05466524216524216
PHL,1984-04-01,0.006232193732193732
PHL,1984-07-01,0.01103988603988604
PHL,1984-10-01,0.0202991452991453
PHL,1985-01-01,0.10185185185185186
PHL,1985-04-01,0.0037393162393162395
PHL,1985-07-01,0.009081196581196582
PHL,1985-10-01,0.002492877492877493
PHL,1986-01-01,0.07336182336182336
PHL,1986-04-01,0.021723646723646725
PHL,1986-07-01,0.004629629629629629
PHL,1986-10-01,0.0349002849002849
PHL,1987-01-01,0.1550925925925926
PHL,1987-04-01,0.07888176638176637
PHL,1987-07-01,0.005341880341880343
PHL,1987-10-01,0.022613960113960118
PHL,1988-01-01,0.09348290598290598
PHL,1988-04-01,0.010505698005698005
PHL,1988-07-01,0.0021367521367521365
PHL,1988-10-01,0.004985754985754986
PHL,1989-01-01,0.02012108262108262
PHL,1989-04-01,0.017628205128205128
PHL,1989-07-01,0.001958689458689459
PHL,1989-10-01,0.05217236467236467
PHL,1990-01-01,0.15616096866096865
PHL,1990-04-01,0.05039173789173789
PHL,1990-07-01,0.006588319088319088
PHL,1990-10-01,0.040776353276353275
PHL,1991-01-01,0.11894586894586895
PHL,1991-04-01,0.041666666666666664
PHL,1991-07-01,0.022970085470085472
PHL,1991-10-01,0.05608974358974359
PHL,1992-01-01,0.19444444444444445
PHL,1992-04-01,0.07567663817663818
PHL,1992-07-01,0.015313390313390315
PHL,1992-10-01,0.0397079772079772
PHL,1993-01-01,0.10434472934472934
PHL,1993-04-01,0.08101851851851852
PHL,1993-07-01,0.0030270655270655273
PHL,1993-10-01,0.0010683760683760683
PHL,1994-01-01,0.09455128205128205
PHL,1994-04-01,0.012464387464387465
PHL,1994-07-01,0.015313390313390315
PHL,1994-10-01,0.05448717948717949
PHL,1995-01-01,0.13105413105413105
PHL,1995-04-01,0.0576923076923077
PHL,1995-07-01,0.00017806267806267807
PHL,1995-10-01,0.0
PHL,1996-01-01,0.05591168091168092
PHL,1996-04-01,0.0026709401709401706
PHL,1996-07-01,0.00035612535612535614
PHL,1996-10-01,0.01745014245014245
PHL,1997-01-01,0.07193732193732194
PHL,1997-04-01,0.043091168091168086
PHL,1997-07-01,0.018696581196581196
PHL,1997-10-01,0.07229344729344729
PHL,1998-01-01,0.1946225071225071
PHL,1998-04-01,0.06855413105413105
PHL,1998-07-01,0.00551994301994302
PHL,1998-10-01,0.0
PHL,1999-01-01,0.016203703703703703
PHL,1999-04-01,0.00035612535612535614
PHL,1999-07-01,0.0
PHL,1999-10-01,0.0007122507122507123
PHL,2000-01-01,0.007478632478632479
PHL,2000-04-01,0.0033831908831908827
PHL,2000-07-01,0.006588319088319088
PHL,2000-10-01,0.0
PHL,2001-01-01,0.017272079772079774
PHL,2001-04-01,0.011930199430199429
PHL,2001-07-01,0.004629629629629629
PHL,2001-10-01,0.006232193732193732
PHL,2002-01-01,0.09597578347578346
PHL,2002-04-01,0.04148860398860399
PHL,2002-07-01,0.008725071225071225
PHL,2002-10-01,0.040242165242165236
PHL,2003-01-01,0.12179487179487179
PHL,2003-04-01,0.05092592592592592
PHL,2003-07-01,0.0026709401709401714
PHL,2003-10-01,0.018696581196581196
PHL,2004-01-01,0.08368945868945869
PHL,2004-04-01,0.03970797720797721
PHL,2004-07-01,0.010683760683760682
PHL,2004-10-01,0.030804843304843305
PHL,2005-01-01,0.150997150997151
PHL,2005-04-01,0.061431623931623935
PHL,2005-07-01,0.004095441595441596
