country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD_OLD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,country_add,dates,PRITHVI_MOISTURE_STD_ALL,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_FARM,PRITHVI_MOISTURE_NO_FARM
PHL,9.772605915408272,2.8283876014927545,-6.228373702,10.07054036216033,,10/1/12,2012,3.027647633168218,-3.507881077,1.551852007332477,8.1,-0.204753762,0.056666667,0.1572382746135983,-0.295470141,0.007834758,0.001780627,8.380003765185103,4.445827618466829,-0.778763583,0.5962053270016565,PHL,1-Oct-12,0.001064088,-1.77E-06,-1.77E-06,-3.09E-05
PHL,9.181932410546631,2.8359216745442284,-4.795348837,-6.18070537,,1/1/13,2013,2.5830610229578275,2.215116324424268,1.700868485709428,7.9,-3.673174454,-0.433333333,-0.354774829,-0.348699314,0.027421652,0.01531339,6.537471639312664,4.402750415,3.260559753861904,-3.946331779,PHL,1-Jan-13,0.000828234,-9.16E-06,-9.16E-06,-8.37E-05
PHL,8.752463390599118,2.3411371237457956,2.421777073528375,-2.714343777,,4/1/13,2013,2.5830610229578275,2.215116324424268,1.5199382041070075,7.6,-4.305645293,-0.356666667,1.6976485855596084,0.4616269965378666,0.019586895,0.1379985754985755,6.445778813813083,4.3483407926845725,4.739916787147011,-1.15943148,PHL,1-Apr-13,0.000555592,-1.01E-05,-1.01E-05,-7.48E-05
PHL,9.038137787005772,2.1508934480477304,3.4121298949379097,8.767754525102479,,7/1/13,2013,2.5830610229578275,2.215116324424268,2.237022493295515,7.9,-2.800636377,-0.316666667,0.6588166171098917,1.7322249671438703,0.001246439,0.013354701,6.985348769,4.974880004368803,9.685271634597534,-0.320870404,PHL,1-Jul-13,0.000639641,-1.98E-05,-1.98E-05,-0.00014218
PHL,8.861886934221008,3.0042918454935563,7.821907166,16.679948475068528,,10/1/13,2013,2.5830610229578275,2.215116324424268,3.0091449601746367,7.7,-3.197514716,-0.17,-0.049495468,0.2579259077033724,0.005519943,0.004273504,7.117041276278414,4.946794660045898,11.336135153870769,-0.466957006,PHL,1-Oct-13,0.000921102,-4.20E-06,-4.20E-06,-2.46E-05
PHL,9.492245195,3.644123440577785,9.912550686,18.37548424295745,,1/1/14,2014,3.6004624019919493,3.821952639,1.6508175559380112,7.6,-4.575483518,-0.463333333,-1.432095856,-0.429583237,0.058938746,0.000890313,6.972726318352545,4.981063318414689,10.45682158324907,-2.352880451,PHL,1-Jan-14,0.001000117,-6.37E-06,-6.37E-06,-4.14E-05
PHL,10.111595791895155,3.8235294117647367,1.092202184404356,14.706586302423364,,4/1/14,2014,3.6004624019919493,3.821952639,2.6891521587272926,7.7,2.925344597039392,0.21,1.7365250016339593,0.1565451170632343,0.019764957,0.151531339,6.773551779104245,5.264379300491246,3.7811976600910118,0.18454897927689284,PHL,1-Apr-14,0.000876053,-1.10E-05,-1.10E-05,-7.33E-05
PHL,8.917900168506998,4.081632653061185,3.825994596965998,15.946449765691415,,7/1/14,2014,3.6004624019919493,3.821952639,3.059782928201682,7.3,-5.956815632,0.066666667,0.8066623300467824,1.597533992557204,0.002492877,0.023148148,6.520063994420633,4.865363823668776,6.3780678525196945,-0.03617457,PHL,1-Jul-14,0.000693927,-7.99E-06,-7.99E-06,-8.20E-05
PHL,9.805672750120165,2.8525641025640924,0.4570630882154258,9.282469811956684,,10/1/14,2014,3.6004624019919493,3.821952639,2.6858351011456394,7.4,-22.34769639,0.6333333333333333,0.022348048,0.3719855880189737,0.005698006,0.008012821,6.028124923137259,4.657214245,9.241958159,-6.413197723,PHL,1-Oct-14,0.000720902,-1.33E-05,-1.33E-05,-0.000120814
PHL,5.545678830227918,1.520430788723548,-0.444483954,-0.391602604,,1/1/15,2015,0.6786020423073275,3.2177310354171205,3.9692994988184793,7.1,-37.95400289,0.4666666666666666,-1.094327395,-1.382133671,0.0997151,0.011930199,6.113157884123417,4.377475804806775,15.334442343915168,-9.411777995,PHL,1-Jan-15,0.000344136,-4.06E-05,-4.06E-05,-0.000249509
