date,SOI,PDO,WestenV,NINO1+2,NINO3,NINO4,NINO3+4
10/31/94,-0.9,-1.428,,0.6,0.89,0.75,1.11
11/30/94,-2,-1.852,,0.86,0.82,0.92,1.25
12/31/94,-0.7,-0.578,-0.668430651,0.73,0.77,0.72,1.02
1/31/95,-0.2,0.239,,0.1,0.45,0.71,0.73
2/28/95,1.2,0.71,,-0.49,-0.03,0.71,0.46
3/31/95,-1.1,0.712,-0.457124675,-1.55,-0.4,0.52,0.28
4/30/95,-0.6,1.153,,-1.41,-0.72,0.39,-0.11
5/31/95,0.2,1.15,,-0.93,-0.55,0.21,-0.14
6/30/95,0.7,1.262,-0.348456249,-0.61,-0.44,0.03,-0.21
7/31/95,0.5,0.277,,-0.41,-0.9,-0.14,-0.63
8/31/95,0.4,1.342,,-0.28,-1.04,-0.35,-0.84
9/30/95,0,0.692,0.198055793,-0.55,-1,-0.45,-0.88
10/31/95,0.1,0.182,,-0.28,-1.07,-0.59,-1.1
11/30/95,-0.8,0.425,,-0.85,-0.98,-0.5,-0.95
12/31/95,1.6,0.947,0.176887353,-0.65,-0.81,-0.47,-0.86
1/31/96,0.4,1.068,,-0.44,-0.67,-0.52,-0.86
2/29/96,1.9,1.013,,-0.33,-0.53,-0.4,-0.61
3/31/96,1.3,1.285,-0.003783847,-1.92,-0.83,-0.46,-0.47
4/30/96,0.5,1.898,,-1.44,-0.74,-0.45,-0.38
5/31/96,1.9,1.026,,-1.89,-0.76,-0.48,-0.44
6/30/96,1.1,0.577,0.136094441,-1.26,-0.64,-0.45,-0.44
7/31/96,1.2,-0.212,,-0.87,-0.42,-0.32,-0.22
8/31/96,1,0.511,,-0.65,-0.5,-0.37,-0.45
9/30/96,1,0.717,0.187203844,-0.7,-0.59,-0.31,-0.44
10/31/96,-0.1,0.688,,-1.1,-0.66,-0.23,-0.41
11/30/96,1.5,0.22,,-1.13,-1.01,-0.19,-0.64
12/31/96,0.8,0.815,-0.022089651,-0.9,-0.89,0.01,-0.53
1/31/97,2.9,0.592,,-0.22,-0.68,0.19,-0.37
2/28/97,-0.7,0.732,,0.54,-0.35,0.24,-0.25
3/31/97,-1,0.961,-0.440593777,0.91,-0.12,0.59,0.16
4/30/97,-2.2,1.657,,2.12,0.65,0.53,0.64
5/31/97,-2.3,2.382,,3,1.51,0.26,1.09
6/30/97,-1.2,1.442,-0.546139795,3.63,2.09,0.47,1.56
7/31/97,-2.4,2.123,,3.96,2.59,0.5,1.89
8/31/97,-2.4,1.639,,3.96,2.84,0.68,2.13
9/30/97,-2.4,1.587,-0.502189773,3.67,3.08,0.58,2.36
10/31/97,-2,1.281,,4.47,3.27,0.69,2.41
11/30/97,-1.6,0.867,,4.25,3.3,0.57,2.29
12/31/97,-4.4,0.991,-0.138342576,3.55,3.08,0.64,2.38
1/31/98,-3.4,1.482,,2.64,2.49,0.59,2.03
2/28/98,-4,1.407,,2.74,1.92,0.3,1.34
3/31/98,-2.4,0.31,-0.197860034,2.68,1.64,-0.07,0.78
4/30/98,0.4,-0.355,,2.72,1.39,-0.26,0.57
5/31/98,1.6,-0.519,,2.24,0.37,-0.71,-0.39
6/30/98,2,-0.681,0.328117798,1.42,-0.38,-0.78,-0.99
7/31/98,1.9,-0.171,,0.96,-0.67,-1.02,-1.28
8/31/98,1.7,-0.867,,0.22,-0.95,-1.02,-1.26
9/30/98,1.8,-1.576,0.800225983,0.33,-0.99,-1.34,-1.46
10/31/98,1.7,-0.612,,-0.14,-0.86,-1.45,-1.46
11/30/98,2.3,-0.874,,-0.18,-1.1,-1.48,-1.69
12/31/98,3,-0.543,0.920804378,-0.78,-1.25,-1.68,-1.69
1/31/99,1.6,-0.756,,-0.54,-0.88,-1.64,-1.32
2/28/99,2.1,-0.867,,-0.04,-0.52,-1.35,-0.95
3/31/99,2.3,-1.452,1.10839763,-0.9,-0.87,-1.21,-1.11
4/30/99,0.4,-1.864,,-0.69,-0.81,-1.03,-1.15
5/31/99,0.4,-1.91,,-0.76,-0.9,-1.01,-1.19
6/30/99,0.9,-1.321,0.781630875,-0.23,-0.76,-1.14,-1.17
7/31/99,0.6,-1.189,,-0.11,-0.84,-1.1,-1.22
8/31/99,-0.1,-1.379,,-1.05,-1.11,-0.97,-1.09
9/30/99,1.6,-1.849,0.641259734,-0.86,-1.38,-0.97,-1.23
10/31/99,1.7,-1.754,,-1.23,-1.5,-1.27,-1.58
11/30/99,2.4,-1.64,,-0.64,-1.55,-1.36,-1.74
12/31/99,1.1,-1.784,0.717011039,-0.76,-1.66,-1.33,-1.77
12/31/99,1.1,0.909,0.717011039,-0.76,-1.66,-1.33,-1.77
1/31/00,2.7,0.395,,-0.62,-1.14,-1.47,-1.55
1/31/00,2.7,-0.969,,-0.62,-1.14,-1.47,-1.55
2/29/00,2.2,0.797,,-0.47,-0.5,-1.43,-0.98
2/29/00,2.2,-0.475,,-0.47,-0.5,-1.43,-0.98
3/31/00,2,1.735,0.847736413,-0.04,-0.17,-1.43,-0.87
3/31/00,2,-0.392,0.847736413,-0.04,-0.17,-1.43,-0.87
4/30/00,0.6,1.276,,-0.4,-0.37,-1.29,-0.86
4/30/00,0.6,-0.568,,-0.4,-0.37,-1.29,-0.86
5/31/00,-0.3,-0.521,,-0.38,-0.59,-0.91,-0.79
5/31/00,-0.3,1.003,,-0.38,-0.59,-0.91,-0.79
6/30/00,-0.3,1.005,0.784139011,-0.28,-0.62,-0.73,-0.67
6/30/00,-0.3,-0.903,0.784139011,-0.28,-0.62,-0.73,-0.67
7/31/00,1.2,1.246,,-0.57,-0.48,-0.62,-0.49
7/31/00,1.2,-1.102,,-0.57,-0.48,-0.62,-0.49
8/31/00,1.4,-0.23,,-0.23,-0.32,-0.49,-0.52
8/31/00,1.4,-0.811,,-0.23,-0.32,-0.49,-0.52
9/30/00,1.8,0.122,0.321405748,-0.27,-0.5,-0.65,-0.7
9/30/00,1.8,-1.082,0.321405748,-0.27,-0.5,-0.65,-0.7
10/31/00,3,-0.804,,-1.19,-0.7,-0.77,-0.79
10/31/00,3,0.657,,-1.19,-0.7,-0.77,-0.79
11/30/00,1.3,0.651,,-0.96,-0.66,-0.95,-0.92
11/30/00,1.3,0.024,,-0.96,-0.66,-0.95,-0.92
12/31/00,1.6,1.146,0.405253624,-0.63,-0.42,-0.89,-0.73
12/31/00,1.6,0.519,0.405253624,-0.63,-0.42,-0.89,-0.73
1/31/01,2.8,0.671,,-0.48,-0.28,-0.82,-0.63
1/31/01,2.8,0.145,,-0.48,-0.28,-0.82,-0.63
2/28/01,1.5,-0.035,,0.17,-0.01,-0.71,-0.48
2/28/01,1.5,-0.317,,0.17,-0.01,-0.71,-0.48
3/31/01,0.3,-0.837,0.729402899,0.18,-0.12,-0.59,-0.49
3/31/01,0.3,-0.437,0.729402899,0.18,-0.12,-0.59,-0.49
4/30/01,-0.8,-1.034,,-0.71,-0.14,-0.39,-0.34
4/30/01,-0.8,-0.755,,-0.71,-0.14,-0.39,-0.34
5/31/01,0.5,-1.072,,-0.85,-0.28,-0.17,-0.19
5/31/01,0.5,-1.02,,-0.85,-0.28,-0.17,-0.19
6/30/01,-0.3,-1.138,0.645918021,-0.58,-0.27,0.09,-0.04
6/30/01,-0.3,-1.73,0.645918021,-0.58,-0.27,0.09,-0.04
7/31/01,-0.7,-0.466,,-0.84,-0.22,0.05,-0.05
7/31/01,-0.7,-1.09,,-0.84,-0.22,0.05,-0.05
8/31/01,0.3,-1.217,,-1.13,-0.59,0.21,-0.2
8/31/01,0.3,0.092,,-1.13,-0.59,0.21,-0.2
9/30/01,-0.1,0.227,-0.042607807,-1.13,-0.43,0.19,-0.14
9/30/01,-0.1,-1.201,-0.042607807,-1.13,-0.43,0.19,-0.14
10/31/01,1.1,0.074,,-0.89,-0.68,0.08,-0.37
