country,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,quarter
IDN,8.578169703691806,,,-0.5271557798580906,2013-04-01
IDN,12.06632492302706,,,3.2918544284819884,2013-07-01
IDN,13.73622564106791,,,-3.3240829233791014,2013-10-01
IDN,12.17964971238301,6.3949288239655955,-12.337374828214054,-3.902451987703248,2014-01-01
IDN,11.836289762275351,,,-0.8628073077320053,2014-04-01
IDN,10.32338544455711,,,-2.207545036746461,2014-07-01
IDN,8.7429747536371,,,-5.208499091795238,2014-10-01
IDN,9.076583440474195,6.363120611966466,-11.318110547486382,-11.160760262797275,2015-01-01
IDN,9.454955710831992,,,-16.399799166960904,2015-04-01
IDN,8.967112403783428,,,-17.226090083100342,2015-07-01
IDN,8.720653412543466,,,-15.187588055029144,2015-10-01
IDN,7.412697178252525,3.525804528154497,0.4955093228199203,-8.320607895139387,2016-01-01
IDN,7.177255191030296,,,-3.984735467228006,2016-04-01
IDN,7.340964378045789,,,0.2660546112154938,2016-07-01
IDN,8.419160524687364,,,5.6117583933522175,2016-10-01
IDN,10.050790398551236,3.8087985769195143,-0.5653966643263675,12.137561548552632,2017-01-01
IDN,9.495406135033456,,,5.061435289335137,2017-04-01
IDN,9.537853469285684,,,18.22756434988062,2017-07-01
IDN,9.26258790178196,,,19.400999274344688,2017-10-01
IDN,8.887442548022273,3.198347559249992,-5.888535831186637,18.976575764865444,2018-01-01
IDN,9.450970117630252,,,20.925889955363665,2018-04-01
IDN,9.739304675426542,,,18.692407497628903,2018-07-01
IDN,8.689013681082457,,,9.988224372251883,2018-10-01
IDN,7.881594339713716,3.0305846094165867,0.4982319864967666,-4.028375790902439,2019-01-01
IDN,7.501463408631004,,,-4.535444858890769,2019-04-01
IDN,5.950719870314902,,,-6.646674676763265,2019-07-01
IDN,5.546251739648245,,,-5.326027546108403,2019-10-01
IDN,3.649487594508116,1.9198352727079593,-2.8329492487670804,-7.550395447261926,2020-01-01
IDN,-6.961638284894633,,,-28.034286476546058,2020-04-01
IDN,-4.141144402391028,,,-28.00218112009334,2020-07-01
IDN,-2.258597848449584,,,-18.44238802602255,2020-10-01
IDN,1.1779946922977125,1.5600788298333557,1.7672448051402778,4.067237954562364,2021-01-01
IDN,13.24541992309829,,,44.54540882610616,2021-04-01
IDN,11.403597288202016,,,38.893097490025966,2021-07-01
IDN,14.337699453075302,,,41.84098541049388,2021-10-01
IDN,13.224756309238847,4.2094646371478195,-3.5626560411278763,30.40590606693727,2022-01-01
IDN,17.31126495149562,,,28.349914622266216,2022-04-01
IDN,17.506359949652328,,,32.13819686979305,2022-07-01
IDN,13.544843323093648,,,9.2116508109211,2022-10-01
IDN,12.178030845774778,3.669386548597653,-2.6036519722133944,2.7515587547420894,2023-01-01
IDN,6.431665032694944,,,-4.874154797454833,2023-04-01
IDN,4.687607176220654,,,-6.390838550407518,2023-07-01
IDN,3.823381451088803,,,-0.1540454035483751,2023-10-01
IDN,4.381519813168788,2.181512736151836,-3.9018709221524728,3.1000655857546633,2024-01-01
IDN,5.787265660508312,,,3.963458196317293,2024-04-01
IDN,6.546493883689308,,,9.651387687590706,2024-07-01
IDN,7.11396814139571,,,9.675750309345666,2024-10-01
IND,14.763815953243498,4.2463436203192595,2.763580071098515,57.702844578784365,2005-01-01
IND,13.8740247979934,,,55.786795985171445,2005-04-01
IND,12.77538086213863,,,29.816517307472612,2005-07-01
IND,13.929208804761494,,,22.233136766443053,2005-10-01
IND,15.016075571325826,5.796523375616358,-2.665198366860688,21.3670250122008,2006-01-01
IND,14.42966465772091,,,23.586261746340732,2006-04-01
IND,17.265826824166332,,,29.704633457371532,2006-07-01
IND,16.64666279893856,,,19.51994897250642,2006-10-01
IND,16.69071176967074,6.372881355932303,9.739132194154054,21.812118101771883,2007-01-01
IND,16.927655159574595,,,20.11919558590261,2007-04-01
IND,14.636457016440207,,,21.68503619998814,2007-07-01
IND,17.15262262929651,,,33.381374419415955,2007-10-01
IND,15.799352641556542,8.349267049075792,-4.545442681645262,45.746403477493125,2008-01-01
IND,16.544679601925406,,,42.0558463727231,2008-04-01
IND,17.41135956922473,,,46.35687437969889,2008-07-01
IND,12.940372189319804,,,9.593544289364807,2008-10-01
IND,5.415954356955255,10.882352941176476,-10.604917429447436,-20.415863933712806,2009-01-01
IND,8.493897553315776,,,-18.767638738758052,2009-04-01
IND,10.87812700243651,,,-17.571310301757105,2009-07-01
IND,15.19352362683819,,,6.392487077588482,2009-10-01
IND,25.69659975294114,11.98938992042442,5.810838218764469,41.292877089160825,2010-01-01
IND,22.148177633102417,,,37.15344565793743,2010-04-01
IND,20.483298709846153,,,25.907089354849575,2010-07-01
IND,19.752792224765535,,,29.463761892487227,2010-10-01
IND,18.580252139649488,8.911793364833652,-1.7496562871430863,24.965640124689426,2011-01-01
IND,17.283483894444295,,,31.842006450238625,2011-04-01
IND,14.645514010287153,,,28.359557366303537,2011-07-01
IND,12.83745251217998,,,14.608183391022123,2011-10-01
IND,12.492377840928338,9.478996914198,-12.784987632485246,17.248630767456262,2012-01-01
IND,13.424866714375238,,,-1.2110785952748615,2012-04-01
IND,14.318357441914497,,,-1.957363298867687,2012-07-01
IND,13.658721154825226,,,9.01614351125739,2012-10-01
IND,13.88513823398807,10.017878474610288,-8.570361875482458,0.0671981766278362,2013-01-01
IND,12.291440048433875,,,4.545208182154226,2013-04-01
IND,12.601653586655438,,,-2.333279672541544,2013-07-01
IND,13.969661102388242,,,-11.834959063055994,2013-10-01
IND,12.961513043419393,6.665656718679003,-4.368470872288932,-8.836936162013053,2014-01-01
IND,12.701491976862922,,,-3.365085920916311,2014-04-01
IND,12.132799617050072,,,6.953461194046628,2014-07-01
IND,10.022655832011472,,,4.656837160698846,2014-10-01
IND,9.30338268071511,4.906973441272533,-4.837064961313143,-7.209559336173365,2015-01-01
IND,10.0526768485659,,,-9.904017587844738,2015-04-01
IND,9.603319728671188,,,-11.623661766086457,2015-07-01
IND,10.430387713347676,,,-12.80625777950457,2015-10-01
IND,11.68741843787082,4.948216340621414,-4.580436813072398,-7.382232707485259,2016-01-01
IND,11.905440861467298,,,-5.750339280680638,2016-04-01
IND,12.051689742615256,,,-3.4705033930686247,2016-07-01
IND,11.666919909525683,,,6.533811873624362,2016-10-01
IND,11.446906181302596,3.328173374612997,3.213605028415034,13.560802554507468,2017-01-01
IND,9.98477321171849,,,23.57411964484719,2017-04-01
IND,10.711291713716276,,,16.257123882247228,2017-07-01
IND,11.027489624140395,,,18.67211759118952,2017-10-01
IND,12.319455080041974,3.9388264669163457,-4.607085536583311,19.592458807418577,2018-01-01
IND,12.57642151192815,,,10.728486081644071,2018-04-01
IND,11.916646243257455,,,17.4586675804554,2018-07-01
IND,11.212419102193326,,,10.105466225846271,2018-10-01
IND,6.944915189849987,3.729505735391281,-3.0745028366099714,0.0303008674662486,2019-01-01
IND,7.597975270751145,,,2.403988297743598,2019-04-01
IND,5.581747404481363,,,-5.556647594929453,2019-07-01
IND,5.443144760493057,,,-8.379860235707891,2019-10-01
IND,6.89681750978397,6.623436776285319,-4.942659119319471,-7.804747089427688,2020-01-01
IND,-21.557697645719788,,,-41.172884207945025,2020-04-01
IND,-2.02455889105696,,,-19.85680130163385,2020-07-01
IND,7.261797176530371,,,-3.755272233942774,2020-10-01
IND,10.650009698925889,5.131407471763683,0.2172954725623732,15.968793694428609,2021-01-01
IND,33.72756564586725,,,67.94422163147664,2021-04-01
IND,19.069494000452835,,,50.51850529124287,2021-07-01
IND,14.838005698538105,,,43.05829207797722,2021-10-01
IND,12.379232137927756,6.69903414079851,-5.862685211994966,27.9349441877385,2022-01-01
IND,25.350376759861337,,,43.47162731697316,2022-04-01
IND,14.38062727906708,,,25.5836939785111,2022-07-01
IND,8.883001783613587,,,7.250604801234672,2022-10-01
IND,9.288390192083252,5.649143189079298,-4.9452571971226655,2.9979457452521174,2023-01-01
IND,11.427078760233078,,,-7.461377824134685,2023-04-01
IND,12.415038324313986,,,-5.247908840791671,2023-07-01
IND,12.413629482443266,,,0.8125145544468415,2023-10-01
IND,11.8164143095407,4.953035509736536,-1.277846297700158,3.985380544091543,2024-01-01
IND,10.540019941210122,,,8.619673104884939,2024-04-01
IND,9.365894779154726,,,9.76147171320665,2024-07-01
IND,9.608719341488303,,,10.814723548332616,2024-10-01
MEX,2.581922787107005,3.988057145974322,3.4283401137243263,193.20481316709296,2005-01-01
MEX,1.2522984509155233,,,-115.8584219223393,2005-04-01
MEX,2.340956710980713,,,-121.99048479866994,2005-07-01
MEX,3.136581972057728,,,-35.6446319083429,2005-10-01
MEX,4.946997499245009,3.6294676243913138,0.1336858986079825,-58.49085411707642,2006-01-01
MEX,5.805808064783613,,,-47.357827329504374,2006-04-01
MEX,5.010737646385444,,,-246.84140991720255,2006-07-01
MEX,3.4711980305001777,,,-26.37134043824344,2006-10-01
MEX,2.191721856418316,3.9668490545823554,-0.307437149721812,242.21604736293145,2007-01-01
MEX,1.9789486425088487,,,1859.74709376904,2007-04-01
MEX,2.0899667764225915,,,602.0268758229602,2007-07-01
MEX,1.980912262648027,,,20.709301054553578,2007-10-01
MEX,1.2284419842440777,5.124982745758966,-0.9246493195064986,-15.56639722779688,2008-01-01
MEX,1.3374001697750604,,,14.995450354260264,2008-04-01
MEX,1.0543962762576964,,,407.3874982818189,2008-07-01
MEX,-0.7946667027124765,,,235.43630412499587,2008-10-01
MEX,-6.883497791357607,5.297355842288565,-18.489337961042384,-63.833861009567805,2009-01-01
MEX,-9.133682690849698,,,-87.32413075895916,2009-04-01
MEX,-5.905863403867806,,,16.346009327503786,2009-07-01
MEX,-2.3095623192609493,,,-83.3836381366306,2009-10-01
