country,quarter,PRITHVI_HEAT_EXTENT
COL,1983-07-01,0.003787878787878788
COL,1983-10-01,0.0
COL,1984-01-01,0.012521043771043771
COL,1984-04-01,0.0011574074074074073
COL,1984-07-01,0.0
COL,1984-10-01,0.0
COL,1985-01-01,0.16624579124579122
COL,1985-04-01,0.005471380471380472
COL,1985-07-01,0.0
COL,1985-10-01,0.0008417508417508418
COL,1986-01-01,0.03493265993265993
COL,1986-04-01,0.0
COL,1986-07-01,0.0010521885521885524
COL,1986-10-01,0.0
COL,1987-01-01,0.09427609427609428
COL,1987-04-01,0.01125841750841751
COL,1987-07-01,0.013047138047138048
COL,1987-10-01,0.011363636363636362
COL,1988-01-01,0.20570286195286194
COL,1988-04-01,0.006734006734006735
COL,1988-07-01,0.0
COL,1988-10-01,0.0017887205387205386
COL,1989-01-01,0.006839225589225589
COL,1989-04-01,0.00010521885521885523
COL,1989-07-01,0.000946969696969697
COL,1989-10-01,0.06660353535353536
COL,1990-01-01,0.03493265993265993
COL,1990-04-01,0.001893939393939394
COL,1990-07-01,0.005366161616161616
COL,1990-10-01,0.014520202020202022
COL,1991-01-01,0.20465067340067342
COL,1991-04-01,0.005050505050505051
COL,1991-07-01,0.005366161616161616
COL,1991-10-01,0.014835858585858586
COL,1992-01-01,0.20496632996632994
COL,1992-04-01,0.011047979797979798
COL,1992-07-01,0.0008417508417508418
COL,1992-10-01,0.0
COL,1993-01-01,0.010627104377104376
COL,1993-04-01,0.005892255892255892
COL,1993-07-01,0.0021043771043771048
COL,1993-10-01,0.00010521885521885523
COL,1994-01-01,0.0805976430976431
COL,1994-04-01,0.001473063973063973
COL,1994-07-01,0.0022095959595959595
COL,1994-10-01,0.0
COL,1995-01-01,0.18213383838383837
COL,1995-04-01,0.00968013468013468
COL,1995-07-01,0.0003156565656565657
COL,1995-10-01,0.0003156565656565657
COL,1996-01-01,0.04577020202020202
COL,1996-04-01,0.004103535353535353
COL,1996-07-01,0.0005260942760942761
COL,1996-10-01,0.0
COL,1997-01-01,0.07249579124579125
COL,1997-04-01,0.0017887205387205386
COL,1997-07-01,0.051241582491582484
COL,1997-10-01,0.06755050505050504
COL,1998-01-01,0.39951599326599324
COL,1998-04-01,0.08343855218855219
COL,1998-07-01,0.004945286195286195
COL,1998-10-01,0.0016835016835016836
COL,1999-01-01,0.00010521885521885523
COL,1999-04-01,0.0
COL,1999-07-01,0.0
COL,1999-10-01,0.0
COL,2000-01-01,0.08922558922558922
COL,2000-04-01,0.00010521885521885523
COL,2000-07-01,0.00242003367003367
