country,spec,exo,max_em_iter,update_P0,coeff_method,overall,rho,max_norm_Ak,bench_dist,reason,GDP_YoY_2026,GDP_YoY_min,GDP_YoY_max,GDP_YoY_last,GDP_YoY_ci_max_width,GDP_YoY_monotone_steps,CPI_YoY_2026,CPI_YoY_min,CPI_YoY_max,CPI_YoY_last,CPI_YoY_ci_max_width,CPI_YoY_monotone_steps,counterfactual_max_abs_gdp_cpi
KEN,HeatDry,HeatDry,50,False,avg4,REJECT,10.825292096802796,25986391.244215745,9458.21766384882,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,7638.14262997853,181.69299591461194,285626318.2823655,285626318.2823655,3.9977690558596555e+30,6.0,3046.8583897838157,71.50672583721268,113808251.15934108,113808251.15934108,5.7059301160169155e+29,6.0,9059440.606921315
KEN,HeatDry+OIL,HeatDry+OIL_YoY,10,True,last,KEEP,0.801684631566258,0.8333770678543428,0.6929139738564126,ok,5.1576259945959455,4.250502951582245,5.614176146150783,5.015301979467701,0.6906688703361787,4.0,5.958813298767446,5.542389766023028,6.24750991899467,6.24750991899467,0.9924220229369771,4.0,0.5078331515859418
KEN,HeatDry+OIL,HeatDry+OIL_YoY,10,True,avg4,KEEP,0.8537353397806281,0.863703512097825,0.7843394495651248,ok,5.269326909484988,3.825214975914494,5.993055967976458,4.80133961215,0.7475674737429623,4.0,5.874979099866439,5.535786872655905,6.24658286522147,6.24658286522147,1.0763844376116678,4.0,0.5754082410612851
KEN,HeatDry+OIL,HeatDry+OIL_YoY,10,False,last,KEEP,0.8019919197079154,0.8386894789208859,0.6404889078266086,ok,5.076636752028048,4.315691046777535,5.5120016183958445,5.092713506265853,0.6975942416907639,4.0,6.006420259664267,5.547996531276387,6.2425487316010075,6.2425487316010075,1.002421480171094,4.0,0.5251050214131805
KEN,HeatDry+OIL,HeatDry+OIL_YoY,10,False,avg4,KEEP,0.8572269215587671,0.8817110443335575,0.6242581383302227,ok,5.047621083209218,4.031103584510731,5.609780868075604,4.935160139227753,0.726952268916035,4.0,6.027728425201675,5.508344162307342,6.216057851689703,6.216057851689703,1.048117554533305,4.0,0.5865504875152521
KEN,HeatDry+OIL,HeatDry+OIL_YoY,30,True,last,REJECT,5.416273855635306,185083.92118270654,903.3904084557614,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,826.44225728767,72.63642018259965,1742393.7064915008,1742393.7064915008,3.292454292028535e+24,6.0,141.6469186134857,14.109048994527505,287177.07020424126,287177.07020424126,1.259159221297139e+24,6.0,67.70630047121085
KEN,HeatDry+OIL,HeatDry+OIL_YoY,30,True,avg4,REJECT,4.5179871886935015,79986.77011408628,479.68689685922715,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,309.719288601764,43.35632628850318,298162.6820266528,298162.6820266528,3.2924205947108046e+24,6.0,-284.87934709577195,-290036.18992583896,-21.44507724998775,-290036.18992583896,1.2592806358395755e+24,6.0,3967.083418051654
KEN,HeatDry+OIL,HeatDry+OIL_YoY,30,False,last,REJECT,2.747662555269899,12717.844523398066,7.593895613698807,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,9.915469698974091,5.370620520532893,996.0092079959659,996.0092079959659,9.641683317309498e+20,6.0,9.530709857874529,0.28121055526649474,2555.7515969963233,2555.7515969963233,2.504475506271292e+20,5.0,3249.360587594171
KEN,HeatDry+OIL,HeatDry+OIL_YoY,30,False,avg4,REJECT,4.727906267215536,62992.66654312197,84.11861684172683,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide; counterfactual large,-55.880724596528836,-73871.99760292577,-3.111274920568129,-73871.99760292577,9.638871457991163e+20,6.0,45.463153741996656,9.000161339117273,31001.826724012666,31001.826724012666,2.5027706869179482e+20,5.0,20004.34066628148
KEN,HeatDry+OIL,HeatDry+OIL_YoY,50,True,last,REJECT,1.3645945954264854e+32,1.19723141149636e+225,1.30617089736367e+160,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,1.2072220888262629e+160,-9.20302509101635e+256,1.2558397659943556e+289,1.2558397659943556e+289,inf,3.0,1.6491468089567859e+159,-1.2578985337697513e+256,1.7165195607163328e+288,1.7165195607163328e+288,inf,3.0,0.0
KEN,HeatDry+OIL,HeatDry+OIL_YoY,50,True,avg4,REJECT,7.688619004596818e+31,3.3475025125184385e+223,2.8600907237898943e+159,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,2.41212530865609e+159,-3.2901554673858306e+255,2.5296786787760387e+287,2.5296786787760387e+287,inf,3.0,7.466090252230072e+158,-1.0202254438126072e+255,7.844192186746666e+286,7.844192186746666e+286,inf,3.0,0.0
KEN,HeatDry+OIL,HeatDry+OIL_YoY,50,False,last,REJECT,5.2314673884107684e+29,2.0477783204693747e+208,4.7431527036348606e+148,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,3.812355455124493e+148,-1.6352369565414457e+238,8.555079675594225e+267,8.555079675594225e+267,inf,3.0,1.551328747517279e+148,-6.3588490849396505e+237,3.3318572704761026e+267,3.3318572704761026e+267,inf,3.0,0.0
KEN,HeatDry+OIL,HeatDry+OIL_YoY,50,False,avg4,REJECT,7.06576165423268e+29,1.5625232091584274e+209,6.482775654346789e+148,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,-5.1132891855420325e+148,-3.800313100908444e+268,-3.415362232564518e+89,-3.800313100908444e+268,inf,6.0,-2.282477448007927e+148,-1.7304773016783497e+268,-1.0024635845641567e+89,-1.7304773016783497e+268,inf,6.0,0.0
