quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,country,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star
2014-10-01,1.813089221189279,5.920887924559794,8.590986443335456,6.206117692489199,-25.96211025335493,DZA,2014,2.919059873606554,1.5097702405266171,2.6858351011456394,7.4,-22.347696387850956,0.6333333333333333,,,,,,,,
2015-01-01,-2.3831163107400855,5.246652499535807,6.792247100182336,21.249955602038483,-50.835372994522096,DZA,2015,4.7954089189676985,24.916883040664207,3.9692994988184793,7.1,-37.95400289306724,0.4666666666666666,,,,,,,,
2015-04-01,-2.738002350562596,5.384631151741264,6.386450596443844,24.60348409267874,-34.948595136840346,DZA,2015,4.7954089189676985,24.916883040664207,3.2790878609270546,7.1,-34.96430581283827,0.9333333333333332,,,,,,,,
2015-07-01,-3.937391890728637,4.758742806551551,4.402020719698375,28.03205396468926,-43.83446272668046,DZA,2015,4.7954089189676985,24.916883040664207,2.4473213664345517,7.0,-39.541945630904785,1.8666666666666665,,,,,,,,
2015-10-01,1.2509255955828635,3.791609218042171,1.461473446964326,25.782038503250337,-37.411522176133175,DZA,2015,4.7954089189676985,24.916883040664207,2.119861312664817,6.9,-33.86835075317748,2.58,,,,,,,,
2016-01-01,1.6059890536391563,4.845918607386497,0.901313241559008,14.185435689802151,-31.267020249059385,DZA,2016,6.391923201183618,8.889314228884011,1.7950168913805964,6.8,-27.451516834687517,2.15,,,,,,,,
2016-04-01,3.8853256359016486,7.202318434667581,4.589129246663511,11.450979833694808,-29.026933666417477,DZA,2016,6.391923201183618,8.889314228884011,1.493250832714721,6.7,-18.414388688578132,0.3933333333333333,,,,,,,,
2016-07-01,5.239172044077889,6.974242744367441,4.581076105822332,6.60159794741948,-12.520340991060298,DZA,2016,6.391923201183618,8.889314228884011,1.8057615310855144,6.7,-4.734106678298078,-0.5466666666666666,,,,,,,,
2016-10-01,8.266939079990143,6.545213018312952,3.488251015237236,3.3192434446196017,14.15037369898755,DZA,2016,6.391923201183618,8.889314228884011,2.1815663030564147,6.8,13.490253934861318,-0.6666666666666666,,,,,,,,
2017-01-01,10.52700459515541,7.548051753795546,7.064098537981105,1.9529746816467688,53.39848446960465,DZA,2017,5.60980013828024,1.3951810244829805,2.0874616941966906,7.0,35.86088975117845,-0.16,,,,,,,,25.98314208808754
2017-04-01,5.3058156345211716,5.18170437433097,3.946126356955009,-0.4302103105053301,19.238064800088715,DZA,2017,5.60980013828024,1.3951810244829805,2.3304137937582903,7.0,8.792530974610768,0.31,,,,,,,,19.361401287151338
2017-07-01,5.552289616054162,4.282328437533665,2.880037551129903,0.2110231755117153,10.486378341122649,DZA,2017,5.60980013828024,1.3951810244829805,2.410821412174591,6.9,10.216499883915509,-0.1133333333333333,,,,,6.864652707095142,,,22.217523353569014
2017-10-01,4.906156653828009,5.427115987460778,6.236584384223254,3.846936551278768,10.359007841993106,DZA,2017,5.60980013828024,1.3951810244829805,2.9941434967617697,6.8,13.523395602491629,-0.8366666666666666,,,,,6.287364070053325,,,26.402080398917423
2018-01-01,6.965291749381386,3.431790128822516,1.414440986197777,3.741693966905024,10.678605690884504,DZA,2018,4.270978796794882,5.08642853513746,3.328810094759116,6.9,15.408474526927684,-0.8533333333333334,,,,,6.334459422919187,2.969930993511464,,16.397019148449846
2018-04-01,9.116823316383329,5.169647939558071,5.607719127544004,6.071638959978709,23.233244154062117,DZA,2018,4.270978796794882,5.08642853513746,3.2989628465220244,6.9,30.049946956660524,-0.2233333333333333,,,,,6.518031384420562,2.9368942097522983,,14.999173243636651
2018-07-01,10.288093578754886,4.753869729161985,4.432132963988886,7.263893323703585,32.40848005264532,DZA,2018,4.270978796794882,5.08642853513746,3.130030640718684,6.7,25.38355311569722,0.2266666666666666,,,,,5.86678848844513,3.22468727508945,,6.2162617308836925
2018-10-01,4.517165812048951,3.728607389636956,2.085207810452858,3.2684878899625236,4.7483434583641015,DZA,2018,4.270978796794882,5.08642853513746,2.125110751484538,6.5,6.137557460747134,0.8966666666666666,,,,,5.735665711200263,3.1829113071165827,,4.140862075357877
2019-01-01,17.85638931991489,2.721237078746079,1.892825580461171,3.9975732964418143,-6.06625160893236,DZA,2019,1.9567810041048548,2.3857005564294322,1.9335587266003704,6.4,-5.802416195325999,0.7233333333333333,,,,,5.0236307296247045,2.7815679522554593,,0.20947321455450024
2019-04-01,0.8546755974073061,1.279317697228145,-1.675291371712006,3.087823038093407,-19.268590533971903,DZA,2019,1.9567810041048548,2.3857005564294322,2.242125694698238,6.1,-9.557571775270556,0.54,,,,,5.352274335358171,3.116540968745427,,-3.2671357445164095
2019-07-01,-0.4995860007131703,2.049638395792258,-0.812919332189078,1.4015120276466897,-22.091279321728376,DZA,2019,1.9567810041048548,2.3857005564294322,2.797216868642849,6.0,-15.49117570318862,0.1399999999999999,,,,,5.233067410598066,2.961324010369129,,0.37630923642927505
2019-10-01,-10.57748081338964,1.776930844652937,-1.53544037605146,1.0558938635358173,-8.61067181341948,DZA,2019,1.9567810041048548,2.3857005564294322,3.3517765241980912,5.9,-7.988186248915841,0.5066666666666667,,,,,4.879771891729812,3.11824367538589,,1.0164146221613728
2020-01-01,-3.3855922598551524,1.960270969008771,-1.133836910412707,1.5867783922309142,-27.922029831589423,DZA,2020,2.4119550204152467,6.209831044268383,1.3585350290757248,-6.8,-15.218477292711183,0.4833333333333333,,,,,2.387105156206953,3.3300929705114775,,-3.9967062472044215
2020-04-01,-17.971656615801724,2.542510121457523,0.8230259870065124,7.587974409070331,-49.2358799282951,DZA,2020,2.4119550204152467,6.209831044268383,-7.39861495878491,3.2,-36.670757833702794,-0.0833333333333333,,,,,-10.290482604307766,2.2978784862100965,,-21.115327462533294
2020-07-01,-13.1039601858137,1.76204358400306,-1.094873287294121,7.393423221854234,-38.38416667516783,DZA,2020,2.4119550204152467,6.209831044268383,-1.3646720997737227,4.9,-17.557671292181396,-0.5733333333333334,,,,,-3.584400921106619,2.437258307710246,,-3.427697499689378
2020-10-01,-4.080834738786865,3.382995407191633,2.215801127530301,8.271148153918052,-37.20608573376227,DZA,2020,2.4119550204152467,6.209831044268383,-0.9222152417236896,6.5,-11.814755905671236,-1.2766666666666666,,,,,-0.791214078209848,2.3575679017653375,,1.312042628513559
2021-01-01,5.270280104883396,5.130632943895204,5.911251475420279,10.463464012531553,12.84693515535007,DZA,2021,7.209563199938392,6.59747860653278,1.8007541764505586,18.9,26.191136655349755,-0.9333333333333332,,,,,3.5918954224346322,2.853993943405514,,14.227651595768151
2021-04-01,25.959304625334045,6.187618445988628,7.357610867578477,4.0142595791938795,119.62967635274934,DZA,2021,7.209563199938392,6.59747860653278,12.385669309432568,8.1,83.22631419983483,-0.4866666666666666,,,,,19.203405575872132,4.173512458976269,,61.748522518092855
2021-07-01,22.889854246553476,8.540542251626297,13.37935202710225,5.474454353179525,92.24849318954864,DZA,2021,7.209563199938392,6.59747860653278,5.1508109950936465,5.5,66.31684273912293,-0.49,,,,,12.733928649143119,4.790040441283798,,29.968840977781632
2021-10-01,31.91827091581436,8.979459158243442,13.79781840528496,6.437736481226164,100.79416711893651,DZA,2021,7.209563199938392,6.59747860653278,5.756179192135091,4.5,70.00433032325151,-0.98,,,,,12.75940668880165,5.822265431220972,,27.27824854180143
2022-01-01,13.847371394017216,9.180417957837872,13.3960843373494,5.8174822203185705,72.83775284986498,DZA,2022,9.273716745527135,5.16857617796559,4.034582077886428,4.8,59.19179918889166,-0.9333333333333332,,,,,11.995256599429387,7.0311855484415915,,23.248608826198712
2022-04-01,39.015980079160386,10.11481602665159,15.42512516412011,8.603640652942413,76.10022422339593,DZA,2022,9.273716745527135,5.16857617796559,2.4537929303342976,0.8,60.18504718698187,-0.99,,,,,12.593883571818989,9.523573003133572,,21.614546377508436
2022-07-01,37.81908248728354,9.285912186301545,13.12057235042432,5.567486782075237,58.74970175810748,DZA,2022,9.273716745527135,5.16857617796559,2.3489732641040373,4.0,42.90726419338373,-0.91,,,,,12.844160910019955,11.335971836789348,,14.89728026691979
2022-10-01,21.241302301054255,8.513720811317539,11.72928676540077,0.6856950565261366,28.770371078528044,DZA,2022,9.273716745527135,5.16857617796559,1.3170742821654535,3.0,11.125646644905874,-0.9133333333333334,,,,,10.839830236589304,11.703943729879715,,6.285619968429206
2023-01-01,11.84551553684534,9.761894775107294,14.57865728135999,-3.2925266850017176,12.547084919063137,DZA,2023,9.333279706472945,-4.309864449988926,2.311146228623828,4.7,-18.11368655996828,-0.43,,,,,10.346214548478518,11.11288359154116,,2.2718294550716402
2023-04-01,2.3592670205074606,9.721903321222584,13.73874999999997,-6.356777819366622,-21.866733995166776,DZA,2023,9.333279706472945,-4.309864449988926,2.792610476283919,6.5,-32.3286618369921,0.48,,,,,8.37353718295267,8.823236709744595,,-3.8185920654328354
2023-07-01,5.438177001630962,9.533658015878284,13.69205585455991,-4.942414201282674,-12.22902222543112,DZA,2023,9.333279706472945,-4.309864449988926,3.2331922827038895,5.0,-27.43656397744004,1.3233333333333337,,,,,7.349958102837951,7.333668951268262,,-3.952208960130651
2023-10-01,1.2297292201762122,8.315662713683617,11.16253217172757,-2.647739094304691,-11.096297459564031,DZA,2023,9.333279706472945,-4.309864449988926,3.390893713155063,5.3,-17.27709331338314,1.9233333333333331,,,,,7.859448238362603,6.821325418102861,,-1.9973000424420535
2024-01-01,8.539183325589427,4.980574485701574,4.451038575667656,-1.307649033547542,-11.358078561361996,DZA,2024,4.055244290139045,-1.317233337978002,2.8632943527041155,5.3,-6.7836849167004605,1.4866666666666666,,,,,,7.317958012987,,-4.139039051942079
2024-04-01,7.953970830019319,3.164814062557702,1.596861228033564,-0.9605282831901428,3.835430929190919,DZA,2024,4.055244290139045,-1.317233337978002,3.1266315239534936,4.7,4.711959835871715,0.3899999999999999,,,,,,7.044269332209113,,3.166811798842097
2024-07-01,6.160808222612046,4.633938360336217,4.65755516530502,-1.7344285400641146,-7.57525023440172,DZA,2024,4.055244290139045,-1.317233337978002,2.7913896372876,4.6,-3.97519047999968,-0.1133333333333333,,,,,,6.092002882104698,,6.077885501630997
2024-10-01,6.129389437932042,3.441650251960689,2.410948183092916,-1.2663274951102088,-8.418308046713918,DZA,2024,4.055244290139045,-1.317233337978002,2.3997884845648576,5.4,-4.3700473978790395,-0.3733333333333333,,,,,,5.052885627756592,,6.403894782970124
2025-01-01,7.800598461830099,4.598677425225978,4.165926846590932,0.2023203365658199,-7.761612363990478,DZA,2025,1.7817640589357417,-1.8285356161330868,2.0192730138857806,5.4,,-0.3866666666666666,,,,,,4.375458778814177,,11.821225962559762
2025-04-01,5.091499582575731,1.93179648720887,-1.333780450867552,-1.8667301296901304,-18.734230049367085,DZA,2025,1.7817640589357417,-1.8285356161330868,2.080466508761192,5.2,,-0.11,,,,,,4.022212387689681,,8.310436854018448
2025-07-01,,-1.185181735627623,-7.671783968566645,-2.946931543064568,-21.344036722660253,DZA,2025,1.7817640589357417,-1.8285356161330868,2.32717324777445,4.8,,-0.3233333333333333,,,,,,,,12.774938085630236
2025-10-01,,,,-2.7028011283434683,,DZA,2025,1.7817640589357417,-1.8285356161330868,,,,-0.595,,,,,,,,
1980-01-01,,10.44824249988984,,,,ECU,1980,11.898813333106933,,1.420553641544986,,47.61723941522688,0.2633333333333333,,,,,,,,
1980-04-01,,12.37116631214137,,,,ECU,1980,11.898813333106933,,-0.775068743967744,,18.084202394746995,0.0733333333333333,,,,,,,,
1980-07-01,,13.38925131659171,,,,ECU,1980,11.898813333106933,,-1.623745716089553,,3.575191402683142,-0.24,,,,,,,,
1980-10-01,,11.38659320380481,,,,ECU,1980,11.898813333106933,,-0.0390515314881989,,2.6314079656942324,-0.1033333333333333,,,,,,,,
1981-01-01,,12.11678832214872,,0.0,-4.109256350889689,ECU,1981,14.017509682381283,0.0,1.6000011986558205,,-0.5723472668810348,-0.5466666666666667,,,,,,,,
1981-04-01,,13.32589907943523,,0.0,7.796782332317576,ECU,1981,14.017509682381283,0.0,2.9686706612209957,,-5.698024335993701,-0.52,,,,,,,,
1981-07-01,,13.36986301092339,,0.0,6.005046920589874,ECU,1981,14.017509682381283,0.0,4.325718700878034,,-3.248338532483397,-0.4533333333333333,,,,,,,,
1981-10-01,,17.25748831701779,,0.0,-1.1522039019904118,ECU,1981,14.017509682381283,0.0,1.2998250196119887,,-9.337807039756918,-0.3033333333333333,,,,,,,,
1982-01-01,,14.45312499940702,,0.0,-5.4791051076403585,ECU,1982,16.185304850178518,20.103333329999998,-2.190515056799669,,-14.009443114934362,0.03,,,,,,,,
1982-04-01,,12.12792127998983,,15.213333320000013,-16.21958447953554,ECU,1982,16.185304850178518,20.103333329999998,-1.01074523771415,,-6.021505376344094,0.3966666666666666,,,,,,,,
1982-07-01,,15.73223780150569,,32.59999999999999,1.223730704853998,ECU,1982,16.185304850178518,20.103333329999998,-2.5560417516138023,,-7.815237961729871,0.8633333333333333,,,,,,,,
1982-10-01,,22.42793531981153,,32.59999999999999,-35.59637417262553,ECU,1982,16.185304850178518,20.103333329999998,-1.4431837563933958,,-8.847147545562429,2.036666666666666,,,,,,,,
1983-01-01,,30.39817974380786,,35.65333332,1.4969632011432754,ECU,1983,47.82160532198149,46.362136717096206,1.4314731652409485,,-7.717186912373064,1.89,,,,,,,,
1983-04-01,,44.62483545596599,,50.92975351821891,7.609977324263051,ECU,1983,47.82160532198149,46.362136717096206,3.268479687025838,,-6.237543367535259,0.7966666666666667,,,,,,,,
1983-07-01,,59.90812277842575,,42.52780292609351,-9.103770118321442,ECU,1983,47.82160532198149,46.362136717096206,5.736967079109201,,0.2204987834550031,-0.3,,,,,,,,
1983-10-01,,56.35528330972634,,56.33765710407239,17.91109460128777,ECU,1983,47.82160532198149,46.362136717096206,7.899663970222681,,-0.9039374904244002,-1.16,,,,,,,,
1984-01-01,,48.80474611969772,,66.43876548716716,-1.7987257559224037,ECU,1984,32.674141059132,43.76071468051601,8.578045114732769,,6.47974570054608,-0.46,,,,,,,,
1984-04-01,,36.99939320409254,,40.186200727811425,13.201281186783543,ECU,1984,32.674141059132,43.76071468051601,7.996531921438144,,2.849944890568401,-0.77,,,,,,,,
1984-07-01,,22.51240532418945,,38.80131701337404,36.090392739474055,ECU,1984,32.674141059132,43.76071468051601,6.900732226163919,,-7.495637660268573,-0.36,,,,,,,,
1984-10-01,,22.38001958854829,,29.616575493711416,18.547300253784904,ECU,1984,32.674141059132,43.76071468051601,5.575643773964911,,-8.379715522572672,-1.0666666666666669,,,,,,,,
