country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,OIL_YoY,IOD,HeatDry,HeatDryYoY,HeatDryF
AUS,4.973333990152895,2.544528143,-10.47320347,20.715393649300307,19.13107030426755,12.436868952230618,,2004-04-01,2004,2.3428707609228248,-11.39860222,4.227489803,11.6,23.93087473,17.75503274,0.25,,,,,,,,,0.353076041268628,-0.3499999999999999,,,
AUS,3.9117965712829106,2.275603153107137,-7.201865452,24.82615277073108,23.861016140162448,20.779326002844932,,2004-07-01,2004,2.3428707609228248,-11.39860222,3.494861691,9.8,25.50187582,8.27956249,0.82,,,,,,,,,0.4537785588752197,-0.0566666666666666,,,
AUS,2.9580815208263944,2.515721903043282,-5.37146128,21.806520222166892,22.232236598891777,23.666985739674008,,2004-10-01,2004,2.3428707609228248,-11.39860222,3.351104944,8.8,23.15892364,0.899442946,0.73,,,,,,,,,0.496261046906866,-0.0466666666666666,,,
AUS,3.0346986201165382,2.369068931,-1.503049722,13.899403337940242,15.72688476192532,22.358844015014377,,2005-01-01,2005,2.690694700158846,-3.5937903,3.908844569,11.2,20.74918861,4.660330368,0.43,,,,,,,,,0.4962523422860709,-0.5733333333333334,,,
AUS,2.737114051358547,2.481388513901115,-7.029614546,26.813800286081467,20.689806067220665,-7.090922637,,2005-04-01,2005,2.690694700158846,-3.5937903,3.61773558,11.1,19.94672758,-2.157342181,0.2,,,,,,,,,0.4591923185540809,0.0366666666666666,,,
AUS,3.153672538148266,3.090233427329083,-6.642208601,24.21399730838283,14.294558804239376,-18.43952896,,2005-07-01,2005,2.690694700158846,-3.5937903,3.448598803,10.9,28.07696234,2.624695355,-0.12,,,,,,,,,0.4896034816247583,-0.5399999999999999,,,
AUS,3.2321992881175987,2.822087927974547,0.7997116702960216,22.10092031024473,9.441949387,-32.57947596,,2005-10-01,2005,2.690694700158846,-3.5937903,2.972736694,12.4,24.22212415,0.187706396,-0.5,,,,,,,,,0.2921399363925487,-0.58,,,
AUS,2.459944701351069,2.923273607483109,5.082984323160944,19.398459562937532,10.071459242084568,-21.43625903,,2006-01-01,2006,3.554135553040517,1.4506977566754786,3.213106755,12.4,19.93042978,-2.125818509,-0.88,,,,,,,,,0.2901273220622,-0.32,,,
AUS,2.249730142970141,3.995159200570573,3.003285789670551,10.635603823488603,11.317951439229224,15.542914437359002,,2006-04-01,2006,3.554135553040517,1.4506977566754786,2.972905112,13.6,25.23111937,8.899529639,-0.14,,,,,,,,,0.3450745113218501,-0.1833333333333333,,,
AUS,2.7014685772043467,3.956836209750695,0.3484091173804771,18.75184522973552,11.092251287956325,-27.40322637,,2006-07-01,2006,3.554135553040517,1.4506977566754786,2.325276662,12.2,15.21346552,11.80151354,0.31,,,,,,,,,0.1327706541145918,0.38,,,
AUS,3.1229806281808825,3.341273194357691,-2.631888204,15.692996666099823,13.470597671648331,0.1101434728147721,,2006-10-01,2006,3.554135553040517,1.4506977566754786,2.634560376,12.5,8.08590213,13.94944926,0.94,,,,,,,,,0.0479957805907171,0.7366666666666667,,,
AUS,4.459088102,2.485195602147788,-5.929201398,17.653194427497777,15.556933334766263,4.794836282208381,,2007-01-01,2007,2.328239808510461,-10.04623926,1.576723728,13.6,8.285639729,13.74634838,0.16,,,,,,,,16.69981732412341,-0.0642290891441513,0.0966666666666666,,,
AUS,4.861762582908358,2.095462277084546,-10.19172995,19.175650181170155,15.70473536621324,-4.873720279,,2007-04-01,2007,2.328239808510461,-10.04623926,1.934373477,14.9,7.884773167,7.848174448,-0.44,,,,,,,,13.64588531,-0.0132374100719424,0.2933333333333334,,,
AUS,4.523265884576011,1.845449846882587,-10.64030037,12.735849344842109,18.10553799550416,62.24998869455334,,2007-07-01,2007,2.328239808510461,-10.04623926,2.368037295,14.2,8.682178861,12.97887051,-0.81,,,,,,,,14.000986128678528,0.0710703539188994,0.3466666666666667,,,
AUS,3.6040342130540193,2.886851507926924,-13.42372533,15.428840498590034,25.01087226777148,91.58198,,2007-10-01,2007,2.328239808510461,-10.04623926,2.13336589,13.9,28.04174715,21.24659287,-1.41,,,,,,,,23.278026463716095,0.4817983559805401,-0.13,,,
AUS,3.344599320430852,4.272528922,-13.26399078,22.487971085192623,31.684502935842197,84.69226260520854,,2008-01-01,2008,4.351551783225357,0.4591766741053948,1.392472409,11.6,40.16209166,29.87963569,-1.49,,,,,,,,23.904425972520684,0.6746196403872751,0.0333333333333333,,,
AUS,3.050468949,4.446986144577225,-11.93948843,37.33666153388033,32.52617798131481,-3.204773047,,2008-04-01,2008,4.351551783225357,0.4591766741053948,1.376011963,11.0,49.17058313,33.37883952,-0.76,,,,,,,,30.66302857837522,0.7672790901137359,0.0866666666666666,,,
AUS,2.5451572667031463,4.983003331474267,-5.260839487,47.53237259378766,31.246837697198227,-61.77960323,,2008-07-01,2008,4.351551783225357,0.4591766741053948,0.265967269,9.5,40.99029826,22.52588743,-0.21,,,,,,,,23.93948194,0.534180602006689,0.3933333333333333,,,
AUS,1.7359095313883133,3.703688735276906,32.30102538700426,17.137784268696432,-5.845257864,-102.0497533,,2008-10-01,2008,4.351551783225357,0.4591766741053948,-2.541154841,7.1,-19.26466325,-11.75388617,-0.6,,,,,,,,-10.88264498,-0.3769953583154081,-0.12,,,
AUS,1.631713845334315,2.436318932758414,36.55668848979232,-3.407584746,-25.66888373,-110.765171,,2009-01-01,2009,1.774612521105364,10.635067984321555,-3.234228442,6.4,-37.09679717,-23.83126419,-0.85,,,,,,,,-28.97038476,-0.540367540780508,0.2,,,
AUS,1.9127418940735776,1.419216359969651,24.59034039014414,-26.32569612,-29.60890955,-64.20981795,,2009-04-01,2009,1.774612521105364,10.635067984321555,-3.978837358,8.2,-40.90890399,-20.99363571,-0.11,,,,,,,,-32.60129811,-0.5141914191419141,-0.0333333333333333,,,
AUS,1.554482505320243,1.186629215700381,7.432170089378398,-28.38981508,-21.52569217,129.8240081850146,,2009-07-01,2009,1.774612521105364,10.635067984321555,-3.132815664,10.6,-34.32696797,-20.02486343,0.39,,,,,,,,-23.41068555,-0.4063480990582491,-0.3066666666666667,,,
AUS,2.808304927714844,2.056285576,-26.03892703,-5.847042868,14.148255988084555,-4768.970536,,2009-10-01,2009,1.774612521105364,10.635067984321555,0.105572523,11.9,11.72768861,6.380479274,1.34,,,,,,,,1.9838876002915664,0.3550790477921133,-0.06,,,
AUS,2.2370682247808915,2.918914441004138,-26.57452325,11.55870277477742,29.303059690825386,-579.3116833,,2010-01-01,2010,2.9190414415778907,-14.11041138,1.745265845,12.2,36.44065299,14.45185723,1.11,,,,,,,,23.83757335120302,0.7165318957771787,0.3166666666666666,,,
AUS,2.242561267995047,3.121628223668186,-14.15468656,49.88300720012171,29.72925436724456,-407.4871486,,2010-04-01,2010,2.9190414415778907,-14.11041138,2.913593764,10.7,27.54144622,3.769644889,-0.53,,,,,,,,23.184134024695012,0.3330502717391304,0.0433333333333333,,,
AUS,2.59823423,2.878460333142818,-7.795803413,45.91999772680646,18.605808004698886,-169.0509616,,2010-07-01,2010,2.9190414415778907,-14.11041138,3.344207988,9.9,18.32160129,14.14653166,-1.51,,,,,,,,14.376705856493915,0.1280846063454759,-0.5233333333333333,,,
AUS,2.6321898756083373,2.757162768,-7.916632305,42.973021620819665,12.301200973779558,-135.655846,,2010-10-01,2010,2.9190414415778907,-14.11041138,2.775960909,9.9,21.2176269,21.81991875,-1.72,,,,,,,,18.396328988523365,0.1615931339680838,-0.79,,,
AUS,1.8796723915500912,3.256307193527722,-10.03172667,36.922041839823486,16.826219197139114,-143.5992927,,2011-01-01,2011,3.304454775,-10.84924038,2.0377972,10.1,28.23721587,28.67070443,-1.19,,,,,,,,26.549527317448955,0.3798743784349647,0.03,,,
AUS,2.4719302898117856,3.549052821118705,-16.98683321,29.47231389268492,24.647269247912934,75.67042122725596,,2011-04-01,2011,3.304454775,-10.84924038,1.743708865,9.9,32.42259513,29.92538125,-0.48,,,,,,,,27.113979145114275,0.4933112498407441,-0.0099999999999999,,,
AUS,3.1754457629965316,3.419690573125727,-14.02175235,32.08677543613263,28.338607742044218,82.75628625,,2011-07-01,2011,3.304454775,-10.84924038,0.94265465,9.3,30.17462566,18.42768175,-0.51,,,,,,,,24.629198783504396,0.473828125,0.13,,,
AUS,3.456316908562229,2.992768510429687,-2.356649285,16.668559752712554,16.09781953077767,27.13753622845214,,2011-10-01,2011,3.304454775,-10.84924038,1.543077051,8.7,10.44640072,0.382094151,-1.05,,,,,,,,9.640866522,0.2626414223043176,0.21,,,
AUS,4.838929219600718,1.627675494708172,-4.769915059,9.123061032148772,19.22054477395594,-233.9275892,,2012-01-01,2012,1.76144401,-0.289986784,2.638069311,8.1,1.507439406,-5.750346008,-0.65,,,,,,,,3.4721289134703235,0.1245139876718823,0.0766666666666666,,,
AUS,4.331665766656134,1.209688543532787,5.172191093023959,-3.581030805,4.915911130393824,-61.30678606,,2012-04-01,2012,1.76144401,-0.289986784,2.403337013,7.7,-8.940968841,-8.944693651,-0.27,,,,,,,,-2.910373372,-0.0762733555157409,-0.3733333333333333,,,
