lat,lon,value
-20.0,-69.0,0.7349382042884827
-20.0,-58.0,4.341907501220703
-20.0,-57.0,6.460509300231934
-20.0,-56.0,7.291271209716797
-20.0,-55.0,8.262057304382324
-20.0,-54.0,9.064600944519043
-20.0,-53.0,9.152862548828125
-20.0,-52.0,9.213431358337402
-20.0,-51.0,8.706337928771973
-20.0,-50.0,8.69469928741455
-20.0,-49.0,8.48760986328125
-20.0,-48.0,8.67107105255127
-20.0,-47.0,8.072624206542969
-20.0,-46.0,5.747946262359619
-20.0,-45.0,5.611169815063477
-20.0,-44.0,4.040368556976318
-20.0,-43.0,0.5670623183250427
-20.0,-42.0,-2.5602705478668213
-20.0,-41.0,-5.210824012756348
-20.0,-40.0,-7.899413585662842
-19.0,-70.0,0.1924857646226883
-19.0,-69.0,1.6861225366592407
-19.0,-68.0,1.0910032987594604
-19.0,-58.0,6.94420862197876
-19.0,-57.0,6.484979629516602
-19.0,-56.0,6.7353010177612305
-19.0,-55.0,7.532797813415527
-19.0,-54.0,8.206805229187012
-19.0,-53.0,8.290739059448242
-19.0,-52.0,6.994543075561523
-19.0,-51.0,6.773386478424072
-19.0,-50.0,6.400912761688232
-19.0,-49.0,6.475385665893555
-19.0,-48.0,5.354533672332764
-19.0,-47.0,4.450474262237549
-19.0,-46.0,3.8264501094818115
-19.0,-45.0,2.6779069900512695
-19.0,-44.0,1.2463136911392212
-19.0,-43.0,-2.2214980125427246
-19.0,-42.0,-5.164435386657715
-19.0,-41.0,-7.559021949768066
-19.0,-40.0,-8.221465110778809
-18.0,-71.0,-0.6343134045600891
-18.0,-70.0,0.24202463030815125
-18.0,-69.0,1.92489755153656
-18.0,-58.0,7.469417095184326
-18.0,-57.0,5.971847057342529
-18.0,-56.0,6.176303386688232
-18.0,-55.0,6.046380043029785
-18.0,-54.0,6.3830461502075195
-18.0,-53.0,6.453192710876465
-18.0,-52.0,5.485798358917236
-18.0,-51.0,4.957111835479736
-18.0,-50.0,4.523594379425049
-18.0,-49.0,3.7053043842315674
-18.0,-48.0,2.752145290374756
-18.0,-47.0,2.403140068054199
-18.0,-46.0,2.06001353263855
-18.0,-45.0,1.0500563383102417
-18.0,-44.0,-0.46447858214378357
-18.0,-43.0,-4.132347583770752
-18.0,-42.0,-7.16288423538208
-18.0,-41.0,-10.342004776000977
-18.0,-40.0,-11.417693138122559
-18.0,-39.0,-10.225785255432129
-17.0,-73.0,-1.1445517539978027
-17.0,-72.0,-0.915549099445343
-17.0,-71.0,-0.24816371500492096
-17.0,-70.0,2.712718963623047
-17.0,-69.0,5.341679573059082
-17.0,-58.0,6.13031530380249
-17.0,-57.0,6.182098388671875
-17.0,-56.0,5.298070430755615
-17.0,-55.0,4.754805564880371
-17.0,-54.0,5.210060119628906
-17.0,-53.0,4.283069610595703
-17.0,-52.0,3.883638620376587
-17.0,-51.0,3.382479667663574
-17.0,-50.0,2.711277961730957
-17.0,-49.0,2.535818099975586
-17.0,-48.0,1.979914665222168
-17.0,-47.0,1.2513794898986816
-17.0,-46.0,0.8492158055305481
-17.0,-45.0,0.14693501591682434
-17.0,-44.0,-0.8041515946388245
-17.0,-43.0,-3.7696192264556885
-17.0,-42.0,-7.237916469573975
-17.0,-41.0,-10.662802696228027
-17.0,-40.0,-12.429498672485352
-17.0,-39.0,-7.619501113891602
-16.0,-75.0,-0.6233254075050354
-16.0,-74.0,-0.8129810094833374
-16.0,-73.0,-0.6199560165405273
-16.0,-72.0,0.2769099771976471
-16.0,-71.0,3.2601490020751953
-16.0,-70.0,5.107168674468994
-16.0,-69.0,16.98284912109375
-16.0,-60.0,7.555797576904297
-16.0,-59.0,6.907280921936035
-16.0,-58.0,5.052534103393555
-16.0,-57.0,4.061647891998291
-16.0,-56.0,3.584047794342041
-16.0,-55.0,3.471446990966797
-16.0,-54.0,3.4530110359191895
-16.0,-53.0,2.9379470348358154
-16.0,-52.0,2.655470848083496
-16.0,-51.0,1.9659279584884644
-16.0,-50.0,1.5188729763031006
-16.0,-49.0,1.4678608179092407
-16.0,-48.0,1.008800745010376
-16.0,-47.0,0.4661853611469269
-16.0,-46.0,0.10533834248781204
-16.0,-45.0,0.03684145212173462
-16.0,-44.0,-1.2066115140914917
-16.0,-43.0,-3.3063740730285645
-16.0,-42.0,-6.045106410980225
-16.0,-41.0,-9.20125675201416
-16.0,-40.0,-9.701658248901367
-16.0,-39.0,-12.779451370239258
-15.0,-76.0,-0.5061777234077454
-15.0,-75.0,-0.6140159368515015
-15.0,-74.0,0.5319288372993469
-15.0,-73.0,4.374312877655029
-15.0,-72.0,5.8301215171813965
-15.0,-71.0,8.924782752990723
-15.0,-70.0,12.982370376586914
-15.0,-69.0,19.58022117614746
-15.0,-61.0,7.220573902130127
-15.0,-60.0,6.611489295959473
-15.0,-59.0,5.925779342651367
-15.0,-58.0,3.945362091064453
-15.0,-57.0,2.70957088470459
-15.0,-56.0,2.633026599884033
-15.0,-55.0,2.4139392375946045
-15.0,-54.0,2.1691579818725586
-15.0,-53.0,1.8187651634216309
-15.0,-52.0,1.4337592124938965
-15.0,-51.0,1.2408610582351685
-15.0,-50.0,1.3604212999343872
-15.0,-49.0,1.1588094234466553
-15.0,-48.0,0.6459842920303345
-15.0,-47.0,0.04075130447745323
-15.0,-46.0,-0.09893230348825455
-15.0,-45.0,-0.2935126721858978
-15.0,-44.0,-0.9691559076309204
-15.0,-43.0,-1.8309930562973022
-15.0,-42.0,-3.7632648944854736
-15.0,-41.0,-9.069141387939453
-15.0,-40.0,-12.066307067871094
-15.0,-39.0,-12.841423988342285
-14.0,-76.0,-0.4390312433242798
-14.0,-75.0,0.38787809014320374
-14.0,-74.0,5.7016730308532715
-14.0,-73.0,10.64719009399414
-14.0,-72.0,15.236394882202148
-14.0,-71.0,22.128198623657227
-14.0,-70.0,25.744110107421875
-14.0,-69.0,20.18128776550293
-14.0,-62.0,5.789604663848877
-14.0,-61.0,5.021986961364746
-14.0,-60.0,4.14863395690918
-14.0,-59.0,2.426898956298828
-14.0,-58.0,2.348123788833618
-14.0,-57.0,2.607114315032959
-14.0,-56.0,2.487987518310547
-14.0,-55.0,1.7213315963745117
-14.0,-54.0,1.697839379310608
-14.0,-53.0,1.8010421991348267
-14.0,-52.0,1.4622834920883179
-14.0,-51.0,1.6511914730072021
-14.0,-50.0,1.403411865234375
-14.0,-49.0,1.0085934400558472
-14.0,-48.0,0.5976254940032959
-14.0,-47.0,0.12535175681114197
-14.0,-46.0,0.32781296968460083
-14.0,-45.0,-0.01342510711401701
-14.0,-44.0,-0.29194319248199463
-14.0,-43.0,-1.0460466146469116
-14.0,-42.0,-3.126798629760742
-14.0,-41.0,-4.388731956481934
-14.0,-40.0,-10.337422370910645
-14.0,-39.0,-12.149913787841797
-13.0,-77.0,-0.17939011752605438
-13.0,-76.0,-0.3769184947013855
-13.0,-75.0,8.548551559448242
-13.0,-74.0,-0.2274649441242218
-13.0,-73.0,-6.894248008728027
-13.0,-72.0,9.318990707397461
-13.0,-71.0,0.018886392936110497
-13.0,-70.0,2.9894888401031494
-13.0,-69.0,4.8944315910339355
-13.0,-64.0,8.727033615112305
-13.0,-63.0,7.599859714508057
-13.0,-62.0,4.48240327835083
-13.0,-61.0,3.5579888820648193
-13.0,-60.0,3.5974576473236084
