lat,lon,population
-23.0,-48.0,1477847.5022784718
-23.0,-47.0,9879265.687400457
-23.0,-46.0,3798029.6930266293
-23.0,-45.0,828963.8459874473
-23.0,-44.0,3233633.0627911366
-23.0,-43.0,9506949.055784611
-23.0,-42.0,856720.2377122589
-23.0,27.0,171731.43206331175
-23.0,28.0,108452.23262148358
-23.0,29.0,259143.97663025337
-23.0,30.0,1313278.9604167603
-23.0,31.0,788339.0702327094
-23.0,32.0,47564.233901061685
-22.0,-70.0,33519.5303587237
-22.0,-69.0,186458.29928415138
-22.0,-68.0,2334.367113311697
-22.0,-58.0,30717.833227005714
-22.0,-57.0,41552.251018877796
-22.0,-56.0,45394.63128480935
-22.0,-55.0,407789.82629860984
-22.0,-54.0,95297.08377409454
-22.0,-53.0,76211.85354704336
-22.0,-52.0,197892.33658150936
-22.0,-51.0,724120.7869123009
-22.0,-50.0,605112.8701646747
-22.0,-49.0,997986.8840931619
-22.0,-48.0,1161770.787263438
-22.0,-47.0,1522386.4868026501
-22.0,-46.0,668868.9505010198
-22.0,-45.0,727976.3882672559
-22.0,-44.0,587253.4104824408
-22.0,-43.0,1539189.046463688
-22.0,-42.0,711677.8477857751
-22.0,-41.0,543914.559166084
-22.0,29.0,78237.95172606909
-22.0,30.0,193460.34052171413
-22.0,31.0,112030.5700306207
-21.0,-70.0,7691.136349815784
-21.0,-69.0,4964.184654743989
-21.0,-68.0,14093.816453876027
-21.0,-58.0,5579.792580761398
-21.0,-57.0,15064.942828263796
-21.0,-56.0,73818.67573827176
-21.0,-55.0,370112.4265193584
-21.0,-54.0,29383.152820467363
-21.0,-53.0,10346.004606739138
-21.0,-52.0,267799.03140997794
-21.0,-51.0,269713.19379389187
-21.0,-50.0,732114.8642245727
-21.0,-49.0,1362529.8636906599
-21.0,-48.0,1712404.0040511074
-21.0,-47.0,933140.1046121023
-21.0,-46.0,418896.61564370664
-21.0,-45.0,459393.58789072477
-21.0,-44.0,739654.6480112122
-21.0,-43.0,664019.620857548
-21.0,-42.0,652381.7688175363
-21.0,-41.0,629522.8297720349
-21.0,-40.0,89046.41483754768
-20.0,-70.0,350963.384486301
-20.0,-69.0,10217.89493453566
-20.0,-58.0,2539.7793604023063
-20.0,-57.0,7602.407150377714
-20.0,-56.0,85625.92690821087
-20.0,-55.0,709616.5877771362
-20.0,-54.0,41400.536721323544
-20.0,-53.0,22908.531047742028
-20.0,-52.0,16885.48280510596
-20.0,-51.0,282006.4714062176
-20.0,-50.0,355898.90987628873
-20.0,-49.0,184261.73160074058
-20.0,-48.0,597821.4597627991
-20.0,-47.0,271805.1244253697
-20.0,-46.0,251653.8956297323
-20.0,-45.0,948789.7935707135
-20.0,-44.0,5481497.701257753
-20.0,-43.0,787020.6927670558
-20.0,-42.0,642388.0775011184
-20.0,-41.0,479892.49474591174
-20.0,-40.0,2025735.8072601485
-19.0,-70.0,26641.776482998153
-19.0,-69.0,7721.761680422527
-19.0,-68.0,21770.495744557385
-19.0,-58.0,154410.01490591862
-19.0,-57.0,4167.607619796891
-19.0,-56.0,2713.7954824919952
-19.0,-55.0,71559.88069339367
-19.0,-54.0,12613.62534935558
-19.0,-53.0,72099.05700034347
-19.0,-52.0,34844.8469740883
-19.0,-51.0,64045.84518921604
-19.0,-50.0,62425.43349340006
-19.0,-49.0,205448.69585802776
-19.0,-48.0,981061.6223552895
-19.0,-47.0,320833.3050981909
-19.0,-46.0,205636.0264348805
-19.0,-45.0,127366.60464691077
